,Text,Date,Hashtags
16,Konu ile ilgili detayları sosyalmedya@mhrs.gov.tr adresine iletmeniz halinde en kısa sürede size dönüş yapılacaktır. @cirkinbabaanne,2017-01-31 05:48:28+00:00,
17,親友以上の関係だったかずきくんと皆城くんがいろいろあって親子関係になった事実やばいな,2017-01-31 05:42:52+00:00,
18,Sayın ŞAHİN ilk tweetinizde devlet hastanesinde sıra beklemeden muayene ifadesini kullandığınız için bilgi vermek istedik. @erensahinoglu,2017-01-31 05:18:08+00:00,
19,"MHRS'yi kullandığınız için teşekkür eder, sağlıklı günler dileriz. @itsdilarayilmaz",2017-01-31 05:07:59+00:00,
20,"MHRS'den en erken 1, en geç 15 gün sonrasına muayene randevusu alabilirsiniz. Sağlıklı günler dileriz. @FezAAkmn",2017-01-31 05:04:03+00:00,
21,Geçmiş olsun. Sağlıklı günler dileriz. @pinkyqueenx,2017-01-31 05:03:43+00:00,
22, RedDeerGames #NintendoSwitch Giveaway! Anyone can have a chance to win this AWESOME game prize pack! #xbox #nintendo #eshop Complete your entry here https://gleam.io/5IMd6/nintendo-switch-games-giveaway-reddeergames,2020-08-10 15:44:13+00:00,#NintendoSwitch #xbox #nintendo #eshop
23,"ALO 182'den, http://mhrs.gov.tr’den veya MHRS Mobil'den randevunuzu oluşturup, sıra beklemeden muayene olabilirsiniz. @1903biabaey",2017-01-31 05:02:01+00:00,
24,"MHRS'den en erken 1, en geç 15 gün sonrasına muayene randevusu alabilirsiniz. Sağlıklı günler dileriz. @mrsmhlf",2017-01-31 04:59:47+00:00,
25,立地悪すぎだし前のコンビニから丸見えでトラックの運転手とかから見られてる感じするし後ろはうるせえし何なん( ˙꒳​˙ ),2017-01-30 23:00:21+00:00,
26,アパートの裏に木材加工店？みたいなのあんだけどすげー朝からうるさい( ･᷄ὢ･᷅ )重低音とかすごい響いて聞こえるしほんとストレス溜まる。静かにして〜( Ꙭ )/,2017-01-30 22:59:18+00:00,
27,Görüşlerinizi paylaştığınız için teşekkür ederiz. Sağlığınız ve memnuniyetiniz için çalışmaya devam edeceğiz. @izmir_gaziemir_,2017-01-30 20:22:04+00:00,
28,Konu ile ilgili detayları sosyalmedya@mhrs.gov.tr adresine iletmeniz halinde en kısa sürede size dönüş yapılacaktır. @DGNMehmet,2017-01-30 20:14:33+00:00,
29,Bu durumu yardimmasasi@mhrs.gov.tr adresine bildirirseniz size en kısa sürede geri bildirim yapılacaktır. @gkhngvz,2017-01-30 19:54:29+00:00,
30,"*2016 yılında 283.908 kişi, MHRS üzerinden randevu aldı. http://dlvr.it/NFDZ7x",2017-01-30 16:51:06+00:00,
31,"*2016 yılında 283.908 kişi, MHRS üzerinden randevu aldı. http://fb.me/8HdFpflHi",2017-01-30 16:44:10+00:00,
32,"*2016 yılında 283.908 kişi, MHRS üzerinden randevu aldı. http://fb.me/5EZMno1nA",2017-01-30 16:44:07+00:00,
33,"*2016 yılında 283.908 kişi, MHRS üzerinden randevu aldı. http://dlvr.it/NFDS8T",2017-01-30 16:43:58+00:00,
34,"*2016 yılında 283.908 kişi, MHRS üzerinden randevu aldı. http://dlvr.it/NFDS5J",2017-01-30 16:43:53+00:00,
35,天体観測に行きたい,2017-01-30 14:50:24+00:00,
36,Bu durumu yardimmasasi@mhrs.gov.tr adresine bildirirseniz size en kısa sürede geri bildirim yapılacaktır. @merfarukyrektrk,2017-01-30 14:19:21+00:00,
37,"Aksaray’da 2016 yılında 283 bin 908 kişi, MHRS üzerinden randevu aldı http://www.haberaksaray.com/aksarayda-2016-yilinda-283-bin-908-kisi-mhrs-uzerinden-randevu-aldi-15344.html #AksarayHaberleri #Manşet #Sağlık",2017-01-30 14:17:32+00:00,#AksarayHaberleri #Man #Sa
38,Aksaray’da 283 bin 908 kişi MHRS ile muayene oldu http://fb.me/3k836qXRi,2017-01-30 13:41:21+00:00,
39,Aksaray’da 283 bin 908 kişi MHRS ile muayene oldu http://dlvr.it/NF8dXH,2017-01-30 13:41:11+00:00,
40,Aksaray’da 283 bin 908 kişi MHRS ile muayene oldu http://dlvr.it/NF8dP7,2017-01-30 13:41:08+00:00,
41,Retweeted み！ (@mhrs_chr): 登壇します！RT @AIR_J_jp:... http://fb.me/8bzpwlkgI,2017-01-30 13:39:39+00:00,
42,Aksaray’da 283 Bin 908 Kişi Mhrs İle Muayene Oldu http://fb.me/52V5xYsB3,2017-01-30 13:19:21+00:00,
43,Aksaray’da 283 Bin 908 Kişi Mhrs İle Muayene Oldu http://fb.me/1aQbkx7oW,2017-01-30 13:19:17+00:00,
44,Aksaray’da 283 Bin 908 Kişi Mhrs İle Muayene Oldu http://dlvr.it/NF8CB3,2017-01-30 13:19:12+00:00,
45,Aksaray’da 283 Bin 908 Kişi Mhrs İle Muayene Oldu http://dlvr.it/NF8C7V,2017-01-30 13:19:11+00:00,
46,283 Bin 908 Kişi MHRS İle Muayene Oldu http://www.aksaray68haber.com.tr/283-bin-908-kisi-mhrs-ile-muayene-oldu/7492/,2017-01-30 13:17:15+00:00,
47,Aksaray’da 283 bin 908 kişi MHRS ile muayene oldu https://haberaman.com/aksarayda-283-bin-908-kisi-mhrs-ile-muayene-oldu-139918.html,2017-01-30 13:16:38+00:00,
48,Aksaray’da 283 bin 908 kişi MHRS ile muayene oldu http://www.daykan.com/aksaray-haberleri/aksarayda-283-bin-908-kisi-mhrs-ile-muayene-oldu-285193 #Aksaray,2017-01-30 13:15:33+00:00,#Aksaray
49,＼#ルームツアー 動画 ／ 「スカイラウンジから花火も見れる 14階建て3LDKマンション」をご紹介！ ▼ポイント ・七尾湾を一望できるスカイラウンジ ・全邸南向きで開放的で明るいLDK ・リビングは広々の22.6帖 ・3面バルコニー #マンション #スカイラウンジ ,2020-08-19 06:16:55+00:00,
50,Aksarayda 283 bin 908 kişi MHRS ile muayene oldu http://www.iha.com.tr/aksaray-haberleri/aksarayda-283-bin-908-kisi-mhrs-ile-muayene-oldu-aksaray-1609628/,2017-01-30 13:08:04+00:00,
51,ay teşekkür ederim ,2017-01-30 12:43:11+00:00,
52,Geçmiş olsun. Sağlıklı günler dileriz. @eceyslcmn,2017-01-30 12:39:47+00:00,
53,あのザインちゃんが傷だらけになるような事態ってなんだよ…………,2017-01-30 12:38:08+00:00,
54,あと二回目のザインちゃんの機体のあれやっぱりハイライトじゃなくてヒビっぽかったわ よく見てわたし,2017-01-30 12:37:39+00:00,
55,ＰＶのファフナー駆るみわちゃんの後ろでワームスフィアばしゅんばしゅん出てるしルガーランス同化してないしやっぱり冒頭ザインの操縦者はみわちゃんなのかな～……じゃあかずきくんはなにを…？,2017-01-30 12:35:53+00:00,
56,"AKSARAY'DA 2016 YILINDA 283.908 KİŞİ, MHRS ÜZERİNDEN RANDEVU ALDI http://www.sultanhani.gen.tr/aksaray-da-2016-yilinda-283-908-kisi-mhrs-uzerinden-randevu-aldi/9113/",2017-01-30 12:33:32+00:00,
57,bir şey demedik tamam pedywishek,2017-01-30 12:33:23+00:00,
58,"MHRS uygulamasında; önceki muayenelerin uzaması, hekime bağlı acil durumlar gibi sebeplerle 1 saatlik esneme bulunmaktadır. @eceyslcmn",2017-01-30 12:32:02+00:00,
59,"Konu MHRS ile ilgiliyse, yardimmasasi@mhrs.gov.tr'ye e-posta göndererek destek alabilirsiniz.Sağlıklı günler dileriz. @basaannn",2017-01-30 12:13:46+00:00,
60,Bu durumu yardimmasasi@mhrs.gov.tr adresine bildirirseniz size en kısa sürede geri bildirim yapılacaktır. @delizade,2017-01-30 11:56:31+00:00,
61,Bu durumu yardimmasasi@mhrs.gov.tr adresine bildirirseniz size en kısa sürede geri bildirim yapılacaktır. @byizmir35,2017-01-30 10:40:13+00:00,
62,"hızlı dönüşünüz için teşekkür ederim, peki sorun tahminen nezaman çözülür",2017-01-30 10:34:58+00:00,
63,Konuyla ilgili teknik çalışmalarımız devam etmektedir.MHRS Mobil ve http://mhrs.gov.tr'den de randevunuzu alabilirsiniz. @byizmir35,2017-01-30 10:32:30+00:00,
64,""" Tak Kiro Ngaji Tenanan ..!! "" simpel padet nggares ning ati. :(",2017-01-30 09:27:54+00:00,
65,Görüşlerinizi paylaştığınız için teşekkür ederiz. Sağlığınız ve memnuniyetiniz için çalışmaya devam edeceğiz. @solomonozturk,2017-01-30 09:08:48+00:00,
66,MHRS olarak sadece muayene randevusu veriyoruz. Tetkik ve tahlilleriniz için randevu veremiyoruz. Teşekkürler. @erensahinoglu,2017-01-30 09:00:02+00:00,
67,Sorununuzun çözümü için yardimmasasi@mhrs.gov.tr 'ye e-posta ile başvurabilirsiniz.En kısa sürede size dönüş yapılacaktır @RecepAr15708976,2017-01-30 08:35:15+00:00,
68,Başbakanlık yönergesi gereği 65 yaş üstü hastalar önceliklidir.Bu hastaların muayene yönetimi ise hastanelerdedir. @demetsaricam,2017-01-30 08:16:45+00:00,
69,ALO184 Sağlık Bakanlığı iletişim hattını arayarak konu hakkında destek alabilirsiniz.Sağlıklı günler dileriz. @CeeyCirit,2017-01-30 08:02:17+00:00,
70,＼#ルームツアー 動画 ／ 「スカイラウンジから花火も見れる 14階建て3LDKマンション」をご紹介！ ▼ポイント ・七尾湾を一望できるスカイラウンジ ・全邸南向きで開放的で明るいLDK ・リビングは広々の22.6帖 ・3面バルコニー #マンション #スカイラウンジ ,2020-08-19 06:16:55+00:00,
71,Başbakanlık yönergesi gereği 65 yaş üstü hastalar önceliklidir.Bu hastaların muayene yönetimi ise hastanelerdedir. @surabirbalik,2017-01-30 07:59:16+00:00,
72,Bu durumu yardimmasasi@mhrs.gov.tr adresine bildirirseniz size en kısa sürede geri bildirim yapılacaktır. @erensahinoglu,2017-01-30 07:48:56+00:00,
73,"MHRS uygulamasında; önceki muayenelerin uzaması, hekime bağlı acil durumlar gibi sebeplerle 1 saatlik esneme bulunmaktadır. @CeeyCirit",2017-01-30 07:19:27+00:00,
74,"MHRS'den en erken 1, en geç 15 gün sonrasına muayene randevusu alabilirsiniz. Sağlıklı günler dileriz. @erensahinoglu",2017-01-30 07:08:39+00:00,
75,Bu durumu yardimmasasi@mhrs.gov.tr adresine bildirirseniz size en kısa sürede geri bildirim yapılacaktır. @MrsHayalperest_,2017-01-30 07:06:28+00:00,
76,"Biz teşekkür eder, sağlıklı günler dileriz. @umudun_turnasi",2017-01-30 06:40:48+00:00,
77,randevum vardı teşekkür ederim ,2017-01-30 06:31:19+00:00,
78,"ALO 182'den, http://mhrs.gov.tr’den veya MHRS Mobil'den randevunuzu oluşturup, sıra beklemeden muayene olabilirsiniz. @umudun_turnasi",2017-01-30 06:26:55+00:00,
79,Bu konuyla ilgili yardimmasasi@mhrs.gov.tr 'ye e-posta göndererek destek alabilirsiniz.Sağlıklı günler dileriz. @cernoooo,2017-01-30 05:20:23+00:00,
80,豪雨,2017-01-30 04:24:32+00:00,
81,気持ちふわふわ 心ふよふよ 金にふらふら mhrs_bra,2017-01-30 04:05:13+00:00,
82,同じ階数と当ててください(*˙ᵕ˙ *)大体課金者しか来なくて負ける(*˙ᵕ˙ *),2017-01-30 01:58:18+00:00,
83,つらい(つらい),2017-01-30 01:57:12+00:00,
84,MHRS portal kafayı yemiş durumda randevu alamıyorum. bir virüs olabilir mi? @MHRS_182,2017-01-29 22:32:28+00:00,
85,bakan MHRS RANDEVU VERMİYOR MİLLET PSİKOLOGLUK OLDU HASTANELERDE 1TANE PSİKİYATRİST VAR,2017-01-29 22:01:37+00:00,
86,Izzat karo BC....... Kisi ki beti hai....... Tumhare bulle shauk ke waste paida ni hue unloga..... #Jazbaat se Khelre..... ,2017-01-29 20:56:34+00:00,#Jazbaat
87,"Söz konusu durumu, T.C. Sağlık Bakanlığı İletişim Hattı ALO184’ü arayarak iletebilirsiniz.Sağlıklı günler dileriz. @filizekel",2017-01-29 19:05:09+00:00,
88,Geçmiş olsun. Sağlıklı günler dileriz. @Adrian_Atanasov,2017-01-29 17:51:51+00:00,
89,"MHRS'den en erken 1, en geç 15 gün sonrasına muayene randevusu alabilirsiniz. Sağlıklı günler dileriz. @bsreldm",2017-01-29 16:38:08+00:00,
90,uuhhh,2017-01-29 16:33:20+00:00,
91,＼#ルームツアー 動画 ／ 「スカイラウンジから花火も見れる 14階建て3LDKマンション」をご紹介！ ▼ポイント ・七尾湾を一望できるスカイラウンジ ・全邸南向きで開放的で明るいLDK ・リビングは広々の22.6帖 ・3面バルコニー #マンション #スカイラウンジ ,2020-08-19 06:16:55+00:00,
92,Konu ile ilgili detayları sosyalmedya@mhrs.gov.tr adresine iletmeniz halinde en kısa sürede size dönüş yapılacaktır. @baharfazliogluu,2017-01-29 14:28:33+00:00,
93,Mhrs'den randevu alırken hastalıktan ölünür ,2017-01-29 14:21:03+00:00,
94,Tokat Novada Alışveriş merkezinde Mhrs tanıtımındayız. Bekleriz... @MHRS_182 @saglikbakanligi @sb_tkhk,2017-01-29 10:09:04+00:00,
95,#tokatkamuhastaneleri #alo182 #mhrs #bilgilendirmestandı #herkesibekleriz @ahmetkiraz18 @Dr_Mehmet_Ersan @TokatKHB,2017-01-29 09:55:36+00:00,#tokatkamuhastaneleri #alo182 #mhrs #bilgilendirmestand #herkesibekleriz
96,Bu durumu yardimmasasi@mhrs.gov.tr adresine bildirirseniz size en kısa sürede geri bildirim yapılacaktır. @remzi_027,2017-01-29 00:44:41+00:00,
97,"q yo pngin mz kyok ue iso lan seneng ball""an,futsal,voly,sekak,etc. Tpi apalh daya wktu tk bisa diptar ke masa lalu.Btapa jancukknya hdp.ku",2017-01-28 23:09:40+00:00,
98,Wish you many many more happy returns of the day poo pp,2017-01-28 18:29:23+00:00,
99,#Wish #you #many many #more #happy #return #of the #day my #best #best #friend in the #world @karan.dhir.5 I... http://fb.me/1gaLpf5ZQ,2017-01-28 18:24:11+00:00,#Wish #you #many #more #happy #return #of #day #best #best #friend #world
100,justru dng aksi demo itu.lah yg mnjadikn rusak.nya bertoleransi umat bragama..,2017-02-28 22:39:03+00:00,
101,Brawl Chess ♟coming soon! Follow to play @BrawlChess http://reddeergames.com/familychess/ ReTweet if You play CHESS ♟#chess #チェス #szachy #échecs #schach #шахматы #棋 #ajedrez #switch #nintendo #xbox #chesskids #steam #PlayStation5,2020-08-01 23:59:33+00:00,#chess #szachy #schach #ajedrez #switch #nintendo #xbox #chesskids #steam #PlayStation5 #PlayStation5
102,"Hidup itu kaya sungai Ada aja tai lewat -_-. Slamat pagi,NUswantara",2017-02-28 22:29:17+00:00,
103,にほんごがやばい,2017-02-28 17:30:02+00:00,
104,次はファフロスを埋めるカレンダーロスを埋めつつびよんどに備えるカレンダーかしら,2017-02-28 17:29:50+00:00,
105,総監督のカレンダー送り出しツイかわいい,2017-02-28 17:28:51+00:00,
106,検索から失礼します。一時的にフォローお願いしてもよろしいでしょうか？,2017-02-28 17:24:57+00:00,
107,Aksaray ili göğüs hastanesinde sadece bir doktor var. MHRS den randevu almak için girin ve görün. #ağırağır,2017-02-28 16:46:42+00:00,#a
108,オレも日本語が話せて嬉しい！おだいじに！,2017-02-28 14:38:47+00:00,
109,日本語話せてよかったです、なんか嬉しいです、こけてよかった！（違う,2017-02-28 14:35:26+00:00,
110,日本語がカッコいい。けど画像に翻訳するとただの怪我か。おだいじに！！！,2017-02-28 14:34:00+00:00,
111,膝です、目ができました,2017-02-28 14:23:07+00:00,
112,♪ﾍﾞﾘｰﾍﾞﾘｰ d(^･ｪ･^)(^･ｪ･^)b ｸﾞｯﾄｸﾞｯﾄ♪,2017-02-28 14:21:03+00:00,
113,Gulbarga people job for you Only for honest fellows,2017-02-28 12:11:24+00:00,
114,Gulbarga people job for you,2017-02-28 12:10:24+00:00,
115,What about the men that married female MHRs ? ,2017-02-28 10:53:44+00:00,
116,"Konu MHRS ile ilgiliyse, Sağlık Bakanlığı İletişim Hattı ALO 184'ü arayarak iletebilirsiniz.Sağlıklı günler dileriz. @UlusoyBoz1907",2017-02-28 10:17:17+00:00,
117,". @MHRS_182 merak etmeyin ben şimdi giderim acile, 70-80 kişilik bir sırayı acı, ateş, başdönmesi eşliğinde beklerim...",2017-02-28 09:55:45+00:00,
118,. @MHRS_182 kısaca Türkiyede Sağlık Sistemi gerektiğinin çok çok altında yetersizlikte diyelim mi?,2017-02-28 09:54:06+00:00,
119,"Randevuların dolu olması, muayene olmak istediğiniz hastane ve poliklinikte yaşanan yoğunluktan dolayıdır. @degendarious",2017-02-28 09:52:57+00:00,
120,"Sağlığı tamamen özele, sermayeye devrettik diyemiyorlarda işte lep lüp diye geveliyorlar! @MHRS_182 @saglikbakanligi",2017-02-28 09:46:16+00:00,
121,. @MHRS_182 Nereden alıyorum o 1 gün içerisindeki randevuyu? Kocaelindeki Hastahaneden mi? Dalga mı geçiyorsunuz? Sonuç ortada!,2017-02-28 09:44:47+00:00,
122,"MHRS'den en erken 1, en geç 15 gün içerisine muayene randevusu alabilirsiniz. Sağlıklı günler dileriz. @degendarious",2017-02-28 09:40:05+00:00,
123,"Randevularınızı ALO182'den, http://mhrs.gov.tr’den veya MHRS Mobil uygulamasından oluşturabilirsiniz.Sağlıklı günler. @gridenbozma1",2017-02-28 07:52:24+00:00,
124,ｷﾞｬｧｧｧｧｧｧｧｧｧｧｧｧｧｧｧｧ！！！,2017-02-28 06:56:35+00:00,
125,Başbakanlık yönergesi gereği 65 yaş üstü hastalar önceliklidir.Bu hastaların muayene yönetimi ise hastanelerdedir. @esra_vera,2017-02-28 06:55:21+00:00,
126,帰ってきてｗｗｗｗｗｗｗｗｗｗｗｗ,2017-02-28 06:52:33+00:00,
127,ｷﾞｬｧｧｧｧｧｧｧｧｧｧｧｧｧｧｧｧ！！！,2017-02-28 06:26:34+00:00,
128,＼#ルームツアー 動画 ／ 「スカイラウンジから花火も見れる 14階建て3LDKマンション」をご紹介！ ▼ポイント ・七尾湾を一望できるスカイラウンジ ・全邸南向きで開放的で明るいLDK ・リビングは広々の22.6帖 ・3面バルコニー #マンション #スカイラウンジ ,2020-08-19 06:16:55+00:00,
129,クソプラ,2017-02-28 04:03:22+00:00,
130,気持ちよくお昼寝してたのに知らん電話(っ'-')╮ =͟͟͞͞ 調べたらヤフーのプロバイダ関連らしくてクソ……,2017-02-28 04:00:56+00:00,
131,ドマーニ展に出品していた作品が無事到着して良かった！と思って休憩中の今、セータ裏表に気付いた。おもいっきしタグをクビ前にさらして業者対応していた。割りと笑顔な運送屋さんだなと思ったが、笑いをこらえてたのかも知れない。,2017-02-28 01:25:25+00:00,
132,teoride mümkün ama pratikte imkansız bu söylediğiniz,2017-02-27 21:52:38+00:00,
133,başarılarınızın devamını dilerim,2017-02-27 16:26:53+00:00,
134,Bir poliklinik gununde 100 civari hasta bakiliyor bircok yerde. En az 10 dakikayi hangi matematikle ve kafayla hesapliyorsunuz?,2017-02-27 15:15:13+00:00,
135,そう信じる！,2017-02-27 14:51:18+00:00,
136,明日！,2017-02-27 14:12:04+00:00,
137,MHRS ile ilgili olumlu görüşleriniz bizi mutlu etti. Sağlığınız ve memnuniyetiniz için çalışmayı sürdüreceğiz. Teşekkürler. @NecipDursun5,2017-02-27 13:23:13+00:00,
138,Brawl Chess ♟coming soon! Follow to play @BrawlChess http://reddeergames.com/familychess/ ReTweet if You play CHESS ♟#chess #チェス #szachy #échecs #schach #шахматы #棋 #ajedrez #switch #nintendo #xbox #chesskids #steam #PlayStation5,2020-08-01 23:59:33+00:00,#chess #szachy #schach #ajedrez #switch #nintendo #xbox #chesskids #steam #PlayStation5 #PlayStation5
139,"Biz teşekkür eder, sağlıklı günler dileriz. @Ww56555684",2017-02-27 12:20:27+00:00,
140,ilginiz için teşekkürler. Hiç dönüş olacağını tahmin etmiyordum. Bir sonraki sorunu mutlaka bilgi vericem,2017-02-27 12:14:41+00:00,
141,Geçmiş olsun. Sağlıklı günler dileriz. @1kisiMutluluk,2017-02-27 12:12:08+00:00,
142,ALO184 Sağlık Bakanlığı iletişim hattını arayarak konu hakkında destek alabilirsiniz.Sağlıklı günler dileriz. @timurhak61,2017-02-27 12:10:20+00:00,
143,Konu ile ilgili detayları sosyalmedya@mhrs.gov.tr adresine iletmeniz halinde en kısa sürede size dönüş yapılacaktır. @Ww56555684,2017-02-27 12:06:55+00:00,
144,Randevu süresi her poliklinik ve hekim için farklılık gösterebilir.En az 10 dk. olmak şartı ile 60dk'ya kadar uzatılabilir. @blindwatching,2017-02-27 12:01:21+00:00,
145,"Konu ilgili birime iletilmiştir. Teşekkür eder, sağlıklı günler dileriz. @Huseyinke20",2017-02-27 10:26:40+00:00,
146,http://Mhrs.gov.tr veya MHRS mobil uygulamasından giriş yaparak randevu işlemlerinizi hızla gerçekleştirebilirsiniz. @Huseyinke20,2017-02-27 10:18:04+00:00,
147,検索から失礼します こちらもう決まりましたでしょうか？,2017-02-27 10:02:37+00:00,
148,Tesekkurler size dee :),2017-02-27 09:51:52+00:00,
149,Geçmiş olsun. Sağlıklı günler dileriz. @sseennaa3407,2017-02-27 09:47:49+00:00,
150,kan alma sirasi bekledim yani numara sirasi :),2017-02-27 09:46:07+00:00,
151,"Konu MHRS ile ilgiliyse, sosyalmedya@mhrs.gov.tr'ye e-posta göndererek destek alabilirsiniz.Sağlıklı günler dileriz. @nebile_colakel",2017-02-27 09:39:24+00:00,
152,Brawl Chess ♟coming soon! Follow to play @BrawlChess http://reddeergames.com/familychess/ ReTweet if You play CHESS ♟#chess #チェス #szachy #échecs #schach #шахматы #棋 #ajedrez #switch #nintendo #xbox #chesskids #steam #PlayStation5,2020-08-01 23:59:33+00:00,#chess #szachy #schach #ajedrez #switch #nintendo #xbox #chesskids #steam #PlayStation5 #PlayStation5
153,"Konu MHRS ile ilgiliyse, yardimmasasi@mhrs.gov.tr'ye e-posta göndererek destek alabilirsiniz.Sağlıklı günler dileriz. @DemirWeb",2017-02-27 09:31:57+00:00,
154,"ALO 182'den, http://mhrs.gov.tr’den veya MHRS Mobil'den randevunuzu oluşturup, sıra beklemeden muayene olabilirsiniz. @sseennaa3407",2017-02-27 09:31:04+00:00,
155,"ALO 182'den, http://mhrs.gov.tr’den veya MHRS Mobil'den randevunuzu oluşturup, sıra beklemeden muayene olabilirsiniz. @mltem_glmez07",2017-02-27 09:27:41+00:00,
156,itu ikan nya yang sehat2 apa kolam.nya yg kbnyakan ikan.? Rame bener,2017-02-27 09:27:04+00:00,
157,anci ngono wong sugih klakuane koyok yak yak oo,2017-02-27 09:23:33+00:00,
158,"Konu MHRS ile ilgiliyse, sosyalmedya@mhrs.gov.tr'ye e-posta göndererek destek alabilirsiniz.Sağlıklı günler dileriz. @kukul_asya",2017-02-27 08:45:37+00:00,
159,Yabancı uyruklu vatandaşların da randevu alımını kolaylaştırmak için MHRS Web portal artık İngilizce dil desteğiyle de hizmetinizde. ,2017-02-27 08:40:01+00:00,
160,そしてインフレ,2017-02-27 08:26:20+00:00,
161,コロプラほんとクソだな。。イサミとネモのが昔からいるのになんで新キャラがいなくなるんだ？( ´~`),2017-02-27 08:24:41+00:00,
162,MHRS Farkındalık Çalışmaları kapsamında Yalova'da bilbord çalışması yapıldı. ,2017-02-27 08:12:31+00:00,
163,"Konu MHRS ile ilgiliyse, sosyalmedya@mhrs.gov.tr'ye e-posta göndererek destek alabilirsiniz.Sağlıklı günler dileriz. @Tugcedlgz",2017-02-27 08:03:09+00:00,
164,MHRS ALO 182 (Randevu al) Hastane randevu giriş - MHRS ALO 182 (Randevu al) Hastane randevu sistemi giriş ile a... http://ow.ly/yYbG509PKHW,2017-02-27 07:46:07+00:00,
165,MHRS ALO 182 (Randevu al) Hastane randevu giriş - MHRS ALO 182 (Randevu al) Hastane randevu sistemi giriş ile a... http://ow.ly/EopJ509PKtI,2017-02-27 07:45:49+00:00,
166,MHRS ALO 182 (Randevu al) Hastane randevu giriş - MHRS ALO 182 (Randevu al) Hastane randevu sistemi giriş ile a... http://ow.ly/5yrz509PKoR,2017-02-27 07:45:46+00:00,
167,MHRS ALO 182 (Randevu al) Hastane randevu giriş - MHRS ALO 182 (Randevu al) Hastane randevu sistemi giriş ile a... http://ow.ly/5QWI509PKez,2017-02-27 07:32:21+00:00,
168,"Konu MHRS ile ilgiliyse, sosyalmedya@mhrs.gov.tr'ye e-posta göndererek destek alabilirsiniz.Sağlıklı günler dileriz. @BagraKemal",2017-02-27 06:56:17+00:00,
169,ハロワの受付のおばさんうたた寝してた（笑）温かいし眠くなるよな……,2017-02-27 06:49:08+00:00,
170,"MHRS'den en erken 1, en geç 15 gün içerisine muayene randevusu alabilirsiniz. Sağlıklı günler dileriz. @metinerdgn97",2017-02-27 06:23:03+00:00,
171,orang kok gk punya hati ..,2017-02-27 06:20:15+00:00,
172,"Konu MHRS ile ilgiliyse, Sağlık Bakanlığı İletişim Hattı ALO 184'ü arayarak iletebilirsiniz.Sağlıklı günler dileriz. @kykcezgii",2017-02-27 06:05:34+00:00,
173,Alo182 arandığında sadece telefon görüşme ücreti ödenmektedir.Detaylı bilgi için https://www.mhrs.gov.tr/Vatandas/sss.xhtml @behraazad,2017-02-27 05:13:28+00:00,
174,Randevu süresi her poliklinik ve hekim için farklılık gösterebilir.En az 10 dk. olmak şartı ile 60dk'ya kadar uzatılabilir. @biyofilohisto,2017-02-27 05:02:30+00:00,
