,Text,Date,Hashtags
32,sana bi kitap okuma seti yapacagim bunlari okuyunca ilac gibi gelecek tedavi geliyo sabret,2017-01-31 21:54:31+00:00,
33,Yoksa yoksa torunumuz gazozuna ilaç mı attın bu adalının? *nuri alço müziği*,2017-01-31 21:54:16+00:00,
34,"Hah hah ha! Çok iyi ya... Yalnız, ilaç şirketi marketing konusunda o kadar iyi çalışmış ki, zihinde resmen yer etmiş ...",2017-01-31 21:52:48+00:00,
35,Cipro denen ilaç dehset verici derece de iğrenc!! ,2017-01-31 21:52:30+00:00,
36,#anne Anne başa taç imiş Her derde ilaç imiş Bir evlat pir olsada ANNEYE muhtaç imiş... Allah başımızdan eksik etmesin ,2017-01-31 21:51:26+00:00,#anne
37,Aşkına eşkıya izliyorum ne atarlı diziymiş be zaman su gibi geçmiş valla. Ayrıca ilaç dışında baş ağrısı için bir çözümü olan var mı acabaa?,2017-01-31 21:49:59+00:00,
38,"Zaman ilaç mıdır, yoksa kalbini yavaşça yaran yoran bir bıçak mıdır #BirCeylanErtemŞarkısı @ceylan_music",2017-01-31 21:44:14+00:00,#BirCeylanErtem
39,"Hangi ilaç iyi gelir yürek yarasına, Hangi merhem tüm kırılmışlıklarını onarır, Hangi silgiler siler söz... http://fb.me/5N7E2swY4",2017-01-31 21:42:52+00:00,
40,"@serakadigil bunların kafasını yaşamak istiyorum. Şu yoğun tempoda ilaç gibi gelecektir, eminim.",2017-01-31 21:40:25+00:00,
41,dediğim gibi muayene olmadan ilaç kullanmak çözüm olmaz.,2017-01-31 21:36:14+00:00,
42,Söyleyeyim bizim Ocaklı çocuklara ilaç niyetine sana bir gülsünler. Bu akşam bari uyursun,2017-01-31 21:36:07+00:00,
43,Türkiyeden o ülkeye dev ilaç yardımı! https://goo.gl/Tn7Qhg #SONDAKİKA #haber,2017-01-31 21:35:50+00:00,#SONDAK #haber
44,yedigimiz ictigimizi devlet denetletmiyorki gdo ve kimyasal ilac kalintilari hep gec uyaniyoruz,2017-01-31 21:32:35+00:00,
45,Türkiye'den o ülkeye dev ilaç yardımı! http://www.yeniakit.com.tr/haber/turkiyeden-o-ulkeye-dev-ilac-yardimi-272246.html,2017-01-31 21:31:53+00:00,
46,hocam Yirmi Dördüncü Lem'a tek erkekleri değil ahirzaman fitnesinden kadınlarında kurtaracak bir ilaç gibi,2017-01-31 21:29:41+00:00,
47,Türkiye'nin durumu ne olur bilemiyorum. Opioid ilaç hammaddesi olarak yasal afyon üretimi halihazırda yapılıyor Türkiye'de.,2017-01-31 21:28:42+00:00,
48,"Ana başta taç imiş, her derde ilaç imiş Bir evlat pir olsada anaya muhtaç imiş..",2017-01-31 21:27:56+00:00,
49,#zaman diye #ilaç adımı olur lan.. #götünüzden isim türetmeyin @Sırakapılar Mahallesi https://www.instagram.com/p/BP8Zg4-gg_J/,2017-01-31 21:24:33+00:00,#zaman #ila #g
50,"Sen kapanmayan yaramdın, Ve ben bu yaraya ilaç niyetine seni yazdım...",2017-01-31 21:20:21+00:00,
51,(yakacak giyecek ilaç ve diğer ihtiyacları) karşılamak için her cuma yardım toplayalım...,2017-01-31 21:19:07+00:00,
52,evet.. Hemde nasıl ilaç olur.. Ama inşallah biraz mutlulukları uzun sursun kursagimizda kalmasın yaa,2017-01-31 21:10:38+00:00,
53,Çocukların şekerlerine ilaç eklemişler ilaç. @Tarikdak77,2017-01-31 21:08:08+00:00,
54,Şu baş ağrısını anında geçiren ilaç olmadıkça bana tıpta çok ilerlediğimizden bahsetmeyin ya,2017-01-31 21:04:32+00:00,
55,"Ne felsefe ilaç ne nasihat. Mevsim kış Havalar alabildiğine soğuk. Bir tas sıcak çorbaya muhtaç, donmadan bahara... http://fb.me/8jVTYC22t",2017-01-31 21:03:50+00:00,
56,https://m.youtube.com/watch?v=jqswGp3r4cU geceye ilaç gibi ,2017-01-31 21:02:21+00:00,
57,Trump ilaç fiyatları pazarlığı konusunda fikrini değiştiriyor: Sanılanın(savunma) aksine ilaç endüstrisi (Phrma) dünyanın en güçlü lobisidir ,2017-01-31 21:01:39+00:00,
58,yasin benimde basım ikigündür catlıyor ilaç bile işe yaramıyor artik ne olur güzel haberlerini bekliyoruz addid ailesi olarak..,2017-01-31 21:01:35+00:00,
59,"Nasıl ki;bir ilaç her hastalığa ayni etkiyi vermiyorsa,Her bünyeye de aynı dostluk olmuyor!",2017-01-31 21:00:10+00:00,
60,"Benim çok küçüğümsün ama çok rica ediyorum, cahille mücadele ederken kullanacağım bir ilaç varmıdır. varsa yazarmısın?",2017-01-31 20:58:10+00:00,
61,Insan insana ilaç olmalı... dert değil.!,2017-01-31 20:56:17+00:00,
62,@SurvivorDiyal0g eser kafayı yemek üzere idi acun ilaç yerine patatesi dayadı oyalansın diye,2017-01-31 20:54:34+00:00,
63,Vah zavallılar. Kandırıldınız mı? Gazozunuza ilaç da koydular mı? ,2017-01-31 20:53:30+00:00,
64,Hiç bir ilaç sevgiden daha güzel ve daha etkili değildir. ,2017-01-31 20:52:08+00:00,
65,Drogba olsa ilac olurdu,2017-01-31 20:51:37+00:00,
66,@ceyhunerhan arkadasimizin yaptigi dogru her kez en ufak bi hastalikda ilac aliyoruz ve bu ilaclar vucutda depolaniyo ve organlar hasarlanir,2017-01-31 20:50:11+00:00,
67,maalesef.DIRAR kavrmı gelenğmizde çok öğretci.Tek başina ilaç olan(örn.mescid)niyet/bağlam fitnye kapi aralmk olnca 'öldrcü'(:,2017-01-31 20:49:52+00:00,
68,3'e düşen tansiyonda psikotik veya narkotik ilaç yapılmaz ama neyse #ilknefes,2017-01-31 20:49:18+00:00,#ilknefes
69,"#KılıçdaroğluNeSöyledi Yağa,şekere ,una %500 zam, benzin mazot karaborsa, sgk da ilaç kuyruğu,hastanede hastayı rehin alma Böyle şeyler işte",2017-01-31 20:48:44+00:00,#K
70,"mahvetmeye örnek olarak gaz ve benzin kuyrukları, ilaç kuyrukları ve yağa şekere una %500 zam mı örnek verebilir miyiz ?",2017-01-31 20:46:17+00:00,
71,derdime ilaç gibi geliyorsun be prenses,2017-01-31 20:45:55+00:00,
72,Biraz gülermisin ilaç alacak param yok,2017-01-31 20:45:04+00:00,
73,ilaç al ve kanadından gelecek haberi bekle..hepimiz gibi,2017-01-31 20:43:42+00:00,
74,guzel olmuş Emin'im senin icin guzel bir ilaç guzel bir tedavi olmustur ,2017-01-31 20:39:43+00:00,
75,Gazozuna ilaç atar abla https://twitter.com/corcbest1907/status/826526460374609920,2017-01-31 20:39:41+00:00,
76,Antalya cok başarılı merkez var uyuşturucu bağlarını tedavi ediliyor ve ilac kullanılmadan böyle merkezleri butun yurdta olmısı gerekirdir,2017-01-31 20:39:03+00:00,
77,Hayvanlara iskence eden asagiliklarin videolarindan soinra bu ilac gibi geldi. Sagol varol be guzel insan. Insanliktan umit kesmeyelim. ,2017-01-31 20:32:01+00:00,
78,Hoje me arrependo tanto de ter repetido nível na Ilac,2017-01-31 20:30:07+00:00,
79,kardeşim en iyi ilaç su. Tecrübeli bir abin olarak çok su iç azarsa merdiven inçık enson çare olarak hastane ağrı kesici serum,2017-01-31 20:28:35+00:00,
80,sonucun iLaç oLacağı kesin güzeL çaLışma sağLam PR,2017-01-31 20:20:53+00:00,
81,@DrRecepAkdag @saglikbakanligi @tcbestepe @TC_Basbakan @titckgovtr #sma Hastalari ilaç ıstiyor biraz duyarl oln yorulduk sesimiz çıkmıyor mu ,2017-01-31 20:18:45+00:00,#sma
82,Aga zaman ilaç gelir tutunduğum yarınlara https://youtu.be/dggWFLpxDMs,2017-01-31 20:16:57+00:00,
83,Günde 35 tane ilaç içiyorum. Yıldım ha bu yaşar emicemun dediği gibi. ,2017-01-31 20:15:29+00:00,
84,Yendiğimiz içtiğimiz ayrı gitmediği gibi hastalığımızda ayrı gitmedi tabi benim tahlillerime bakıp ikimize ilaç yazdılar @erdoganerden,2017-01-31 20:14:08+00:00,
85,zehir mi yoksa ilaç mıı???,2017-01-31 20:05:06+00:00,
86,Deniz kenarında yalnız oturmak her zaman ilaç olmuştur her seferinde öyle yaparım https://twitter.com/soruedebiyati/status/826463038421221377,2017-01-31 20:02:06+00:00,
87,"Hangi ilaç iyi gelir yürek yarasına, Hangi merhem tüm kırılmışlıklarını onarır, Hangi silgiler siler söz... http://fb.me/1TzH3tBuJ",2017-01-31 20:00:52+00:00,
88,@doganoncel abi sabah barış abi elinde bu torba ilaç ile gelir konu aziz yıldırım olunca ilaçlarda çare etmiyor artık @barisertul,2017-01-31 19:59:35+00:00,
89,"Sana yanlış öğretmişler çocuk, Zaman ilaç değildir.. Zaman soğuktur, soğutur.. Çayı bardakta soğutur.. İnsanı yürekte.. #NotAlınBunu",2017-01-31 19:55:03+00:00,#NotAl
90,Müslüm Gürses - Affet https://youtu.be/0hQCKkqmDlw baş ağrısına iyi gelecek ilaç ararken ben .,2017-01-31 19:54:49+00:00,
91,"bize gerçekleri yaşattınız şimdi siz düşünün . ilaç kullanmıyoruz. doğal doğal işimz,i görüyoz:)",2017-01-31 19:50:13+00:00,
92,Sezen Aksunun yeni albümü ilaç gibi geldi en güzel şarkısı da köz,2017-01-31 19:43:36+00:00,
93,Belin tutulsun..3 gün ağrı çek..içmediğin ilaç kalmasın..sonra iyiyim ben de 12 saat boyunca 10 cm topukluyla gez!! Aferin Deniz çek şimdi ,2017-01-31 19:42:18+00:00,
94,Dehşet-ül vahşet halin ile başımı döndürdüğün yetmezmiş gibi tam zamanında gelip bana ilaç gibi oluşuna ne demeli peki balgözüm @elcnsng,2017-01-31 19:41:40+00:00,
95,"Rreuters:Beklenen haber geldi, Trump ilaç şirketlerine ""düşük fiyat ve ABD de daha çok üretim"" baskısı yapmış ",2017-01-31 19:40:36+00:00,
96,ilaç gibi yemin ederim.. yüzsüzlük edip daha fazlasını istiyorum ellerine saglik ,2017-01-31 19:37:44+00:00,
97,Talasemi ve lösemi hastaları piyasada ilaç bulamıyor http://www.mucadele.com.tr/saglik/talasemi-ve-losemi-hastalari-piyasada-ilac-bulamiyor-81306/,2017-01-31 19:30:46+00:00,
98,hasta Ve raporluyum açıkcası ilaç gibi geldi yarın işe koşarak giderim artık sevgiler iyi akşamlar ,2017-01-31 19:27:06+00:00,
99,ilaç ilaç,2017-01-31 19:26:55+00:00,
100,Kendimi kapsul icindeki toz halindeki ilac gibi hissediyorum.,2017-02-28 23:57:34+00:00,
101,#MutluOlmaSebebim baş ağrısına ilaç gibi gelen bir fincan kahve ,2017-02-28 23:35:54+00:00,#MutluOlmaSebebim
102,"Her hastaligs ilac yapan dr ömer coskun ölmüs,kazandigi parayi bilmem ama ilaclarinin analizinden saman vs cikmisti taklit ürünleri vs vardi",2017-02-28 23:25:27+00:00,
103,"takipteyiz :) gündeme ilaç gibi geldi yalnız, oh :))",2017-02-28 23:14:00+00:00,
104,Kendime bir gram faydam yok millete ilacım ilaç ,2017-02-28 23:07:43+00:00,
105,#MutluOlmaSebebim - Doktora dedim bu ilaç iktidarsızlık yapıyor diye ... - o da evet dedi .. o zaman kullanmıyorum dedim :D iktidar şart,2017-02-28 23:07:01+00:00,#MutluOlmaSebebim
106,"Bir şeyleri kafanızda tam olarak bitiremediyseniz, zaman ilaç değil,zehir olur insana...",2017-02-28 23:05:43+00:00,
107,Vay arkadaş ömer coşkunda rahmetli olmuş. O kadar ilaç bitki falan hikaye yani geldimi zaman gidiyorsun.,2017-02-28 23:00:51+00:00,
108,Dünyaya meyli olana eczanemizde ilaç yok. Mahmut Efendi....,2017-02-28 22:48:45+00:00,
109,gazozuna ilaç attı herhalde başka türlü aklım almadı sonuçta Timsah yani,2017-02-28 22:44:48+00:00,
110,#inanılırgibideğil kurtlar vadisindeki sorgulama yöntemi vardı cihaza baglayıp enjeksiyonla ilaç vererek konuşturma yöntemi gerçekte var mı,2017-02-28 22:44:43+00:00,#inan
111,#inanılırgibideğil Kişiye ilaç zerk edilerek kişinin her sorduğunuz soruya doğru cevap vermesi mümkün müdür? @cansucananozgen @seferdarici,2017-02-28 22:40:06+00:00,#inan
112,bn yaptim ilaç gibi geldi yeminle ..,2017-02-28 22:29:20+00:00,
113,Dün uzun zamandır ilk defa ilaç almadan uyudum.Yaklaşık on beş saat uyumuşum.Bu iyi bişey.,2017-02-28 22:27:37+00:00,
114,etliekmek etkili bir ilaç,2017-02-28 22:23:53+00:00,
115,Zaman ilaç mıydı? Yoksa kalbi yaran bir bıçak mı?,2017-02-28 22:19:26+00:00,
116,"Ah akıp giden zaman; Kimi gelmene, kimi geçmene muhtaç Hem sancısın hem ilaç.. ",2017-02-28 22:12:43+00:00,
117,Serdar Ortaç´ın ilaç parası 40 bin lira http://klashabergazetesi.com/HaberDetay.aspx?id=108003 #BenimMeselem #MutluOlmaSebebim,2017-02-28 22:09:49+00:00,#BenimMeselem #MutluOlmaSebebim
118,Serdar Ortaç´ın ilaç parası 40 bin lira http://klashabergazetesi.com/HaberDetay.aspx?id=108003 #BenimMeselem #MutluOlmaSebebim,2017-02-28 22:09:49+00:00,#BenimMeselem #MutluOlmaSebebim
119,Serdar Ortaç´ın ilaç parası 40 bin lira http://klashabergazetesi.com/HaberDetay.aspx?id=108003 #BenimMeselem #MutluOlmaSebebim,2017-02-28 22:09:49+00:00,#BenimMeselem #MutluOlmaSebebim
120,Uykum gelmesin diye çok alakasız bir ilaç içtiğime göre artık çalışmaya devam edebilirim.,2017-02-28 21:57:48+00:00,
121,ilaç olarak mı alıosun?,2017-02-28 21:56:56+00:00,
122,6bucukta uyanacağımi düşündükçe uykum kaçıyor sonra vay efendim yanlış uygulanan ilac sakat bıraktı,2017-02-28 21:54:51+00:00,
123,Canının attığı yerdir..canın derler.. ilaç melhem der al sürer geçer Kalbin acısı dayanılmaz hangi tabip buna ne eyler. . ★£₩¥O★,2017-02-28 21:46:28+00:00,
124,ilaç atatürk cumhuriyeti hocam her türlü bağnazlığa ikiyüzlülüğe karşı,2017-02-28 21:38:45+00:00,
125,"#inanılırgibideğil Uyusturucu maddesi arinmis kenevir yagi CBD gida takviyesi, kanser tedavisinde kullaniliyor. bu ilac TR de serbestmi?",2017-02-28 21:31:19+00:00,#inan
126,Antidepresanlardan daha iyi bir ilaç varsa oda küfür etmektir ama bunu hiçbir psikolog önermeye cesaret edemez.,2017-02-28 21:24:15+00:00,
127,"28Şubatı Geçti yaktı gönülleri, yıktı yuvaları, sabır; acı ilaç, derdimizin dermanı.",2017-02-28 21:22:44+00:00,
128,ilaç almadan sevişebiliyor mu adnan bey ? alıyoda kaçlıl alıyo 50'lik mi 100'lük mü ?,2017-02-28 21:20:43+00:00,
129,"Tarımda hormon ve zirai ilaç kullanımı -Tarım Dünyasından - Ali Ekber Yıldırım |GIDA, TARIM VE HAYVANCILIK PLATFORMU ",2017-02-28 21:18:46+00:00,
130,"Baş ağrılarının en büyük nedeni güneş tutulmasının etkisi. Gereksiz ilaç kullanmayın, bol su ve kararında kahve ağrı kesici etki yapar",2017-02-28 21:17:42+00:00,
131,"zaman, acı fakat ne güzel ilaç.",2017-02-28 21:16:55+00:00,
132,Kendi evlatına ümiversite sınavlı..hastane paralı ilac paralı ama suriyeli vatan hainlerine bedava.erkekleri terhal ülkelerine dönp savaşa ,2017-02-28 21:15:02+00:00,
133,Hooverphonic with orchestra live... Ilac niyetine..,2017-02-28 21:11:42+00:00,
134,Her derde bir deva bulunur. Lakin ahlaksızlık illetini iyi edecek bir ilaç yoktur. (Hazret-i Ali),2017-02-28 21:09:09+00:00,
135,günde 6 ilaç içiyor olmam sizcede acınası değil mi,2017-02-28 21:03:42+00:00,
136,"Aslında zaman her şeye ilaç değil, acıya karşı ruhu ve bedeni olgunlaştırandır.",2017-02-28 20:59:07+00:00,
137,"İp salla yada birşey yp Bir ilaç yaz doktor Ayaklar yere basnca inan herşey çok zor Herşey boka sardı Tedaviyi reddettm,ya şırınga varmı",2017-02-28 20:51:32+00:00,
138,Turbofolki osht ilaç. Pop- i flliqi me repera me cka ka..,2017-02-28 20:48:24+00:00,
139,Zaman sadece ilac değilmiş bunu öğrendim 2-3 kadehten sonra,2017-02-28 20:47:43+00:00,
140,Yalnız kalmak.. bir ilaç mıdır? Yoksa hastalığın ta kendisi mi?,2017-02-28 20:46:18+00:00,
141,"ilac niyetine arasam evde damla alkol kalmamış.Bu aralar çok serseri oldum,herseyi ihmal ediyorum.",2017-02-28 20:45:49+00:00,
142,"Basim agriyor, kesen tek ilac Apranax ama gastritim var :((((( Cok pis bir ikilem....",2017-02-28 20:42:43+00:00,
143,"O ilaç senin bünyene iyi geleceeeeek. Sen onu anüsten alacaksın. ABD'li subaylar sana ayar yaparken, devlet verecekler ya size. :)",2017-02-28 20:39:08+00:00,
144,Grip olmak kötü daha kötüsü de evinizde hiç ilaç olmamasıdır ,2017-02-28 20:36:31+00:00,
145,"Aşk ne demek bilen var mı Zehir mi yoksa ilaç mı Kimi ağlıyor, kimi gülüyor Tatsam mı yoksa kaçsam mı",2017-02-28 20:27:33+00:00,
146,Global ilaç baronlari Dr ömer çoskunu Abd de bana göre öldürdü.,2017-02-28 20:18:19+00:00,
147,"I went into their store in the ilac centre, I was told they don't do clothes in my size.. Never darken their door again...",2017-02-28 20:15:16+00:00,
148,Antidepresanlardan daha iyi bir ilaç varsa oda küfür etmektir ama bunu hiçbir psikolog önermeye cesaret edemez.,2017-02-28 20:14:32+00:00,
149,Günde bir posta bunu izliyorum ilaç gibi https://www.facebook.com/ebraralyademirbilekofficial/videos/626628867520644/,2017-02-28 20:13:37+00:00,
150,Zaman ilaç mıdır?,2017-02-28 20:07:43+00:00,
151,Kıskançlığı geçirecek bir ilaç üretildiyse bana söylermisiniz?kendimden kıskanmaya başladım.. ,2017-02-28 20:05:05+00:00,
152,"Bırakalım ilaç kullanmayı artık Denetimli,güvenli gıda tüketelim. Sağlıklı beslenelim sağlıklı yaşayalım . @farukcelikcomtr @DrRecepAkdag",2017-02-28 20:03:13+00:00,
153,hayatımda hiç kendimi kaybettmedim ama en sevdim insan trafik kazasında öldü mü anlatılmaz sadece zamanlar ilaç bunu deyim sana,2017-02-28 20:02:14+00:00,
154,Nadir hastalıklar yüzünden ne kadar çok çocuğun ilaç alamadığınin hatta hayatını kaybettiginin farkında misiniz? #Nadirhastalıklargunu,2017-02-28 20:01:47+00:00,#Nadirhastal
155,"Bırakalım ilaç kullanmayı artık Denetimli,güvenli gıda tüketelim. Sağlıklı beslenelim sağlıklı yaşayalım . @farukcelikcomtr @DrRecepAkdag",2017-02-28 19:59:02+00:00,
156,"Bırakalım ilaç kullanmayı artık Denetimli,güvenli gıda tüketelim. Sağlıklı beslenelim sağlıklı yaşayalım . @farukcelikcomtr @DrRecepAkdag",2017-02-28 19:59:02+00:00,
157,"Bırakalım ilaç kullanmayı artık Denetimli,güvenli gıda tüketelim. Sağlıklı beslenelim sağlıklı yaşayalım . @farukcelikcomtr @DrRecepAkdag",2017-02-28 19:59:01+00:00,
158,"Bırakalım ilaç kullanmayı artık Denetimli,güvenli gıda tüketelim. Sağlıklı beslenelim sağlıklı yaşayalım . @farukcelikcomtr @DrRecepAkdag",2017-02-28 19:59:01+00:00,
159,"Bırakalım ilaç kullanmayı artık Denetimli,güvenli gıda tüketelim. Sağlıklı beslenelim sağlıklı yaşayalım . @farukcelikcomtr @DrRecepAkdag",2017-02-28 19:59:00+00:00,
160,sadece reklam.insanlar ölümü bekliyor sorumlu yok ortada ayni ilac olmadigi gibi.,2017-02-28 19:58:43+00:00,
161,"Bırakalım ilaç kullanmayı artık Denetimli,güvenli gıda tüketelim. Sağlıklı beslenelim sağlıklı yaşayalım @farukcelikcomtr @DrRecepAkdag",2017-02-28 19:56:37+00:00,
162,"Bırakalım ilaç kullanmayı artık Denetimli,güvenli gıda tüketelim. Sağlıklı beslenelim sağlıklı yaşayalım @farukcelikcomtr @DrRecepAkdag",2017-02-28 19:56:36+00:00,
163,"Bırakalım ilaç kullanmayı artık Denetimli,güvenli gıda tüketelim. Sağlıklı beslenelim sağlıklı yaşayalım @farukcelikcomtr @DrRecepAkdag",2017-02-28 19:56:36+00:00,
164,"Bırakalım ilaç kullanmayı artık Denetimli,güvenli gıda tüketelim. Sağlıklı beslenelim sağlıklı yaşayalım @farukcelikcomtr @DrRecepAkdag",2017-02-28 19:56:35+00:00,
165,"Bırakalım ilaç kullanmayı artık Denetimli,güvenli gıda tüketelim. Sağlıklı beslenelim sağlıklı yaşayalım @farukcelikcomtr @DrRecepAkdag",2017-02-28 19:56:34+00:00,
166,"Bırakalım ilaç kullanmayı artık Denetimli,güvenli gıda tüketelim. Sağlıklı beslenelim sağlıklı yaşayalım @farukcelikcomtr @DrRecepAkdag",2017-02-28 19:56:34+00:00,
167,"Bırakalım ilaç kullanmayı artık Denetimli,güvenli gıda tüketelim. Sağlıklı beslenelim sağlıklı yaşayalım @farukcelikcomtr @DrRecepAkdag",2017-02-28 19:56:34+00:00,
168,"Bırakalım ilaç kullanmayı artık Denetimli,güvenli gıda tüketelim. Sağlıklı beslenelim sağlıklı yaşayalım @farukcelikcomtr @DrRecepAkdag",2017-02-28 19:56:33+00:00,
169,"Bırakalım ilaç kullanmayı artık Denetimli,güvenli gıda tüketelim. Sağlıklı beslenelim sağlıklı yaşayalım @farukcelikcomtr @DrRecepAkdag",2017-02-28 19:56:33+00:00,
170,"Bırakalım ilaç kullanmayı artık Denetimli,güvenli gıda tüketelim. Sağlıklı beslenelim sağlıklı yaşayalım @farukcelikcomtr @DrRecepAkdag",2017-02-28 19:56:32+00:00,
171,"Bırakalım ilaç kullanmayı artık Denetimli,güvenli gıda tüketelim. Sağlıklı beslenelim sağlıklı yaşayalım @farukcelikcomtr @DrRecepAkdag",2017-02-28 19:56:32+00:00,
172,"Bırakalım ilaç kullanmayı artık Denetimli,güvenli gıda tüketelim. Sağlıklı beslenelim sağlıklı yaşayalım @farukcelikcomtr @DrRecepAkdag",2017-02-28 19:56:31+00:00,
173,"Bırakalım ilaç kullanmayı artık Denetimli,güvenli gıda tüketelim. Sağlıklı beslenelim sağlıklı yaşayalım @farukcelikcomtr @DrRecepAkdag",2017-02-28 19:56:31+00:00,
174,"Bırakalım ilaç kullanmayı artık Denetimli,güvenli gıda tüketelim. Sağlıklı beslenelim sağlıklı yaşayalım @farukcelikcomtr @DrRecepAkdag",2017-02-28 19:56:30+00:00,
175,"Bırakalım ilaç kullanmayı artık Denetimli,güvenli gıda tüketelim. Sağlıklı beslenelim sağlıklı yaşayalım @farukcelikcomtr @DrRecepAkdag",2017-02-28 19:56:27+00:00,
176,Serhatın ilac kullanmasi şart havucunda.ilaci var 1000mg bisiktirol forte! #survivor,2017-02-28 19:54:40+00:00,#survivor
177,Darbecilerin ilaç i EVET uyuma Aydın geçinen,2017-02-28 19:50:51+00:00,
178,ben de süper bi ilaç var !,2017-02-28 19:49:42+00:00,
179,Krdş bit kadar ilaç yapıyosunuz hoş değil,2017-02-28 19:43:53+00:00,
