,Text,Date,Hashtags,Location
11,Bol vitamin işte nar greyfurt suyu,2019-10-20 19:20:47+00:00,,"Adana,Turkey"
12,Vitamin şart – at Çukurova Belediyesi,2019-10-19 20:10:33+00:00,,"Adana,Turkey"
13,"Maşallah moral, motivasyon çok yüksek, evet hüzünleniyoruz ancak hüzün de bir vitamin.. Bizleri olgunlaştırıyor.. #ZulümDevamEdiyor #ZulümBiteneKadar #Unutturmayacağız",2019-10-16 06:14:46+00:00,#Zul #Zul #Unutturmayaca,"Adana,Turkey"
14,2 dünya savaşı için laf söyleyenlere bir çift lafım olacak. Ismet inönü 2 dünya savaşına girmemek gibi doğru bir mücadele içerisinde olmasaydı batı ile dalga geçenler portakalda vitamin bile olamazdı. İnönü hiçbir şey yapmamış olsa bile en büyük işi ülkeyi savaşa sokmamasidir. ,2019-10-14 09:55:06+00:00,,"Adana,Turkey"
15,"Yeni tivitlerden birinde ""vitamin haric ilaç içmem"" gibi bir ifadem vardı hemen vitamini soktular gözüme ",2019-09-19 18:08:24+00:00,,"Adana,Turkey"
16,"Google'dan belirti aratıp hastalık hastası olanlar da var hocam... ""Tıp tepmesi"" olarak tarif etti bir akademisyen, Okan Bayülgen ile Muhabbet Kralı'nda izlemiştim. Ben dişim çekilirken bile iğne ilaç reddediyorum. Ağrı kesici, antibiyotik asla! Ağrı eşiğim yüksek Vitamin ok ",2019-09-19 16:28:49+00:00,,"Adana,Turkey"
17,Portakalda vitamin olarak kalsaydın keşke daha faydalı olurdun ülkeye #tugcekazaz,2019-09-18 14:23:38+00:00,#tugcekazaz,"Adana,Turkey"
18,En iyisi portakal da vitamin kalmak olurdu benim için,2019-08-11 09:22:55+00:00,,"Adana,Turkey"
19,"KİRPİK LİFTİNG 1.Aşama:kirpikleri kıvırma ve sabitleme 2.Aşama:multi vitamin ve keratin bakımı 3.Aşama:boyama Anında daha kıvrık,siyah ve uzun kirpiklere sahip olursunuz. İşlemden hemen sonra etkisi gözle… https://www.instagram.com/p/B0ttKGcg5GW/?igshid=1icecx7nc0eeq",2019-08-03 19:49:14+00:00,,"Adana,Turkey"
20,Sanırım vitamin haplarımı içsem iyi olacak @BTS_twt #MGMAVOTE #BTS,2019-07-16 18:16:17+00:00,#MGMAVOTE #BTS #BTS,"Adana,Turkey"
21,Be hey hadsiz; Muhsin Başkan 18 yaşında 1200'e yakın teşkilatı bulunan Ülkü Ocakları'nın başındaydı. Sen babanın yediği portakalda vitamin bile değilken Muhsin Başkan kelle koltukta ülke Afganistan olmasın diye sokaklarda mücadele veriyordu. Ucuz siyasetinize onu alet etmeyin! ,2019-06-11 18:56:47+00:00,,"Adana,Turkey"
23,#akdenizanemisi #güzellik #bodyfitflptrcom #wellness #işarıyorum #işfırsatı #beslenne #meyvesuyu #enerji #b12 #vitamin #supplement #adana #mersin #tozmercanflptrcom – at Sedir Konakları,2019-04-30 22:07:17+00:00,#akdenizanemisi #g #bodyfitflptrcom #wellness #i #i #beslenne #meyvesuyu #enerji #b12 #vitamin #supplement #adana #mersin #tozmercanflptrcom,"Adana,Turkey"
24,Vitamin hapımı içmeyi unutuyorum ne zamandır sadece dört gün içmişim zaten erken yaşta bunarım ben bu gidişle #BBMAsTopSocial BTS @BTS_twt,2019-04-22 20:05:53+00:00,#BBMAsTopSocial,"Adana,Turkey"
25,D vitamin loading...,2019-04-13 14:50:52+00:00,,"Adana,Turkey"
26,Hobie vitamin hapımı içmeyi sürekli unutuyorum napacam benn @BTS_twt #curiousaboutARMY,2019-04-09 14:38:57+00:00,#curiousaboutARMY,"Adana,Turkey"
27,Kemik erimesini önlemek amacıyla verilen vitamin takviyesi,2019-03-25 18:58:12+00:00,,"Adana,Turkey"
28,"Ne mubarek bir insan, dedesinin iliğinde vitamin iken, olup bitenlerin farkında....",2019-03-22 13:25:39+00:00,,"Adana,Turkey"
29,"Aloe Vera (Barbadensis Miller) Bitkisi dünyada ki en mucizevi bir Kaktüs türüdür. Jel'inin içerisinde 200'den fazla bileşeni ve 75 enzim, 12 vitamin, 18 amino asit, 20… https://www.instagram.com/t.ozmercan1981/p/BuJbLytHrUZ/?utm_source=ig_twitter_share&amp;igshid=gp0ggsvp1vf1",2019-02-21 14:31:09+00:00,,"Adana,Turkey"
30,#Repost guzelyalihastanesi with get_repost ・・・ Gebelikte Önemli Vitamin-Mineraller Ve Kaynakları . •FOLİK ASİT; Gebelikte folik asit ihtiyacı belirgin şekilde artar ve günlük ihtiyaç iki… https://www.instagram.com/p/BtNc_bBlBkC/?utm_source=ig_twitter_share&amp;igshid=hf3es57roeo7,2019-01-29 07:32:33+00:00,#Repost,"Adana,Turkey"
31,Kış aylarında hastalıklara karşı C vitaminin önemini öğreniyoruz #kış #vitamin #adana #seyhan #çukurova @Çocuk O Anaokulu https://www.instagram.com/p/BrFcAXvnKSi/?utm_source=ig_twitter_share&amp;igshid=1wl8favlhmkba,2018-12-07 11:49:47+00:00,#k #vitamin #adana #seyhan,"Adana,Turkey"
32,Doktor vitamin yazmis tadida igrenc yaa midemi bulandiriyo #PCAs #TheSong #IDOL #BTS⁠ ⁠⁠ ⁠ @BTS_twt,2018-10-10 05:30:36+00:00,#PCAs #TheSong #IDOL #BTS #BTS,"Adana,Turkey"
33,I'm at Emre Vitamin Büfe ,2018-08-20 09:37:17+00:00,,"Adana,Turkey"
34,"Balkon bahçemde, bu saatlerde güneşin D vitamin patlaması oldugu için oturmakta zorlanırdım.. Lakin bugün keyfi yüksek şekilde önümdeki park alanına bakarak… https://www.instagram.com/p/BmDCcmjlLBeV5eWU_DCGhtKsKCnmYY2Izd1hrc0/?utm_source=ig_twitter_share&amp;igshid=j0cpglczi3u2",2018-08-04 06:48:24+00:00,,"Adana,Turkey"
35,I'm at Vitamin Park in Adana https://www.swarmapp.com/c/0yrBZUFU70b,2017-11-23 10:21:39+00:00,,"Adana,Turkey"
36,Ananas avakado muz süt (@vitamin büfe) https://www.swarmapp.com/c/7NH6Q5eljlA,2017-10-18 10:18:00+00:00,,"Adana,Turkey"
37,I'm at Emre Vitamin Büfe https://www.swarmapp.com/c/2vP8D60le5F,2017-09-03 20:34:17+00:00,,"Adana,Turkey"
38,Muzlu süt güzel tavsiye ederim (@Emre Vitamin Büfe) https://www.swarmapp.com/c/eULKWC13VwR,2017-08-23 20:38:29+00:00,,"Adana,Turkey"
39,Muzlusüt çekerse canın içeceksin aga (@Emre Vitamin Büfe) https://www.swarmapp.com/c/3yPcaBonjjL,2017-08-11 19:27:36+00:00,,"Adana,Turkey"
40,I'm at Vitamin Cafe in Adana https://www.swarmapp.com/c/3FXJcPDPElY,2017-07-11 08:06:49+00:00,,"Adana,Turkey"
41,Tüm dostlarımızı bekleriz (@Vitamin Cafe in Adana) https://www.swarmapp.com/c/eXq006gxPQP,2017-07-10 13:08:27+00:00,,"Adana,Turkey"
42,I'm at Emre Vitamin Büfe https://www.swarmapp.com/c/4exl51wOZ4o,2017-05-15 14:03:18+00:00,,"Adana,Turkey"
43,Pazar vitamini #vitamin #kazımbüfe @Kazım Büfe https://www.instagram.com/p/BPkyME4lXxj/,2017-01-22 17:18:27+00:00,#vitamin #kaz,"Adana,Turkey"
44,iPhoneに不審なカレンダー通知が表示される手口発生 対策を紹介 (ライブドアニュース) https://news.line.me/issue/oa-livedoornews/y0p9lon8jbpo?utm_source=Twitter&amp;utm_medium=share&amp;utm_campaign=none #linenews,2020-03-31 23:59:55+00:00,#linenews,"Adıyaman,Turkey"
45,Did You see it? http://www.reddeergames.com Let the fun begin! #Xbox #NintendoSwitch #Playstation,2020-08-12 21:24:19+00:00,#Xbox #NintendoSwitch #Playstation,"Adıyaman,Turkey"
46,"Be sensible. Take care of yourself. Vitamin A, D fruits vegtables, drink water, get proper rest. Watch where you go, watch who is around you. Common sense!!",2020-03-31 23:59:46+00:00,,"Adıyaman,Turkey"
47,何だこりゃ！？ 外国人抜けば大したことないではないですか。,2020-03-31 23:59:44+00:00,,"Adıyaman,Turkey"
48,"I thought it was a hoax but people keep dying everyone stay safe and take vitamins, if you don’t have any go get some. all you have to do is keep your body healthy for 2 months stay calm and we’ll make it ",2020-03-31 23:59:09+00:00,,"Adıyaman,Turkey"
49,Maneh juga jangan lupa sarapan sama minum vitamin ya biar nggak ngedrop ,2020-03-31 23:58:59+00:00,,"Adıyaman,Turkey"
50,Intaking my vitamin ,2020-03-31 23:58:52+00:00,,"Adıyaman,Turkey"
51,Literally no better way to get Vitamin D.,2020-03-31 23:58:48+00:00,,"Adıyaman,Turkey"
52,Everything will be ok! Add some vitamin C and zinc into the tea/ water whatever... every little help is welcome... all the best,2020-03-31 23:58:36+00:00,,"Adıyaman,Turkey"
53,Listen I understand,2020-03-31 23:58:29+00:00,,"Adıyaman,Turkey"
54,Well...It is an excellent source of vitamin and and it has no preservatives. ,2020-03-31 23:58:22+00:00,,"Adıyaman,Turkey"
55,"#traveltuesday Sister trip to Myrtle Beach, SC. Need to make a trip soon to the ocean. I need some vitamin Sea! #wander_explore_experience #travel #southcarolina #beach #vitaminsea @Myrtle Beach, South Carolina https://www.instagram.com/p/B-atP1UJ-gY/?igshid=115q6anbtxz1g",2020-03-31 23:58:21+00:00,#traveltuesday #wander_explore_experience #travel #southcarolina #beach #vitaminsea,"Adıyaman,Turkey"
56,"and also I believe in the strength of high Vitamin C but in some cases, they get Covid19 is so bad it cannot save everybody if they have other issues that compound the situation like asthma or Lupus or cancer even undiagnosed cancer",2020-03-31 23:58:06+00:00,,"Adıyaman,Turkey"
57,"Dear Mr Inskeep, I wanted to reach out because a physician in Shanghai is using IV vitamin C with coronavirus and 50/50 patients lived. There will be a press release I will send to you shortly. In the meantime: http://www.orthomolecular.org/resources/omns/v16n18.shtml",2020-03-31 23:57:45+00:00,,"Adıyaman,Turkey"
58,I have no arms or legs ,2020-03-31 23:57:43+00:00,,"Adıyaman,Turkey"
59,It's crazy how bad i look right now ,2020-03-31 23:57:42+00:00,,"Adıyaman,Turkey"
60,Saya menjual (COD) Vitamin... seharga Rp55.000. Dapatkan produk ini hanya di Shopee! https://shopee.co.id/oman_sutrisna/7517520545 #ShopeeID,2020-03-31 23:57:37+00:00,#ShopeeID,"Adıyaman,Turkey"
61,2020年4月1日・・・ビタミンTee西国分寺秘密基地 自宅待機モード・・・ビタミンTeeオンラインアートショップ、そろそろ再稼働の準備に入ります。で、寒さにも負けないで花見をする鳥を発見！・・・(^_^;,2020-03-31 23:57:17+00:00,,"Adıyaman,Turkey"
62,Calming Formula promotes sleep and relaxation. Enter to #WIN Sublingual #Vitamins from #SuperiorSource #WomensHealth #GMOFree#NoPills2Swallow #CVS4Health #sponsored https://bit.ly/2UeBDSM,2020-03-31 23:57:10+00:00,#WIN #Vitamins #SuperiorSource #WomensHealth #CVS4Health #sponsored,"Adıyaman,Turkey"
63,"One thing I've noticed about Amazon - don't love them, but they've proven antifragile in this - they now advertise 'China Free' on products. I ordered vitamins based on that.",2020-03-31 23:57:10+00:00,,"Adıyaman,Turkey"
64,Meet me at the Riverwalk ,2020-03-31 23:57:07+00:00,,"Adıyaman,Turkey"
65,Soaking up some end of the day Vitamin D with these two! #stayhome #piebalddachshund #dogsofinstagram https://www.instagram.com/p/B-atGEFDSaw/?igshid=1hhhgl6p5heoe,2020-03-31 23:57:03+00:00,#stayhome #stayhome #piebalddachshund #dogsofinstagram,"Adıyaman,Turkey"
66,PLAY & Let The Fun Begin Like + RT + Click https://www.reddeergames.com Did You see it? ,2020-07-28 20:47:23+00:00,,"Adıyaman,Turkey"
67,I was always confused by the Ester-C commercials. Ester-C is billed as nonacidic. But isn't Vitamin C ascorbic acid?,2020-03-31 23:56:59+00:00,,"Adıyaman,Turkey"
68,kurang dikasih vitamin c,2020-03-31 23:56:52+00:00,,"Adıyaman,Turkey"
69,"Upon diagnosis #COVID19, Don’t wait for gross expression on an X-ray Immediately w/fever spike 100°F! Keep Vitamins #D3 5000iu per day C 1000mg 2x day Simultaneously start #Tamiflu 30mg 2x/day #Doxycycline 100mg 2x/Day Admited #Ceftriaxone 1g 2x/D or NONAdmitted Keflex 500mg 2/D",2020-03-31 23:56:39+00:00,#COVID19 #D3 #Tamiflu #Doxycycline #Ceftriaxone,"Adıyaman,Turkey"
70,Deals2020: Kleenex Facial Special Care Tissues With Aloe Vera and Vitamin E $1.99 + Delivery ($0 with Prime/ $39 Spend) @Amazon AU ,2020-03-31 23:56:33+00:00,,"Adıyaman,Turkey"
71,Weekly Vitamin C restock ,2020-03-31 23:56:25+00:00,,"Adıyaman,Turkey"
72,I have yet to see an admitted COVID-19 patient with a vitamin D level above 33 . I’d love to hear if others have seen sick COVID patients with high vitamin D levels to refute my theory that normalish vitamin D levels (~50+) are inversely associated with disease severity.,2020-03-31 23:56:23+00:00,,"Adıyaman,Turkey"
73,This is interesting as I was hospitized in mid Nov with severe breathing problems similar to the virus but I was already stage 4 COPD. Anyway they added Vit D to the rest of the meds & Vitamins I'm taking. I think it's helping. ,2020-03-31 23:56:22+00:00,,"Adıyaman,Turkey"
74,"I took all my vitamins and I brought a soda so that means it is party time, yes?",2020-03-31 23:56:21+00:00,,"Adıyaman,Turkey"
75,Minum vitamin dan cuci tangan #DGITM,2020-03-31 23:56:15+00:00,#DGITM,"Adıyaman,Turkey"
76,"Someone called them the WDO, you can guess what the D means, not vitamin D.",2020-03-31 23:56:09+00:00,,"Adıyaman,Turkey"
77,taking my@vitamin d tablets with rum and coke no one can stop me,2020-03-31 23:56:08+00:00,,"Adıyaman,Turkey"
78,I need vitamin sea. . . . . . . #instagram #instagramers #instagood #instamood #instadaily #igers #igersph #igersphilippines #igersdaily #dailypic #dailyphoto #photooftheday #picoftheday #vsco #vscocam #vscoph… https://www.instagram.com/p/B-as9cDHXXA/?igshid=zae2cuxv7ay5,2020-03-31 23:55:51+00:00,#instagram #instagramers #instagood #instamood #instadaily #igers #igersph #igersphilippines #igersdaily #dailypic #dailyphoto #photooftheday #picoftheday #vsco #vscocam #vscoph,"Adıyaman,Turkey"
79,"ORGANIC MASSAGE CANDLES Visit our online shop now to discover the full range of the cosmos organic massage candles by Laboratoire Altho Each candle contains Coconut Oil Shea Butter, Beeswax &amp;amp; Vitamin… https://www.instagram.com/p/B-as8Noqa4b/?igshid=m2nese6mske2",2020-03-31 23:55:44+00:00,,"Adıyaman,Turkey"
80,Vitamin D deficiency,2020-03-31 23:55:33+00:00,,"Adıyaman,Turkey"
81,"Upon diagnosis #COVID19, Don’t wait for gross expression on an X-ray Immediately w/fever spike 100°F! Keep Vitamins #D3 5000iu per day C 1000mg 2x day Simultaneously start #Tamiflu 30mg 2x/day #Doxycycline 100mg 2x/Day Admited #Ceftriaxone 1g 2x/D or NONAdmitted Keflex 500mg 2/D",2020-03-31 23:55:27+00:00,#COVID19 #D3 #Tamiflu #Doxycycline #Ceftriaxone,"Adıyaman,Turkey"
82,Take your vitamins @Jessicasquared9,2020-03-31 23:55:16+00:00,,"Adıyaman,Turkey"
83,"Remember to take care of your bodies and health during this season. Our bodies need all the nutrients, vitamins, rest, water; sometimes we get so busy, we don’t realize what we are putting our bodies through. Be safe.",2020-03-31 23:55:11+00:00,,"Adıyaman,Turkey"
84, not me...I'm over 25...they need vitamins ,2020-03-31 23:55:08+00:00,,"Adıyaman,Turkey"
85,"Man I been so productive. Editing, taking vitamins, feeling good. I’m in a good headspace right now regardless of what’s going on outside ",2020-03-31 23:54:54+00:00,,"Adıyaman,Turkey"
86,"I feel like I leveled up as an adult, I took my vitamins 2 days in a row.",2020-03-31 23:54:49+00:00,,"Adıyaman,Turkey"
88,そういう日も大切ですね,2020-03-31 23:54:48+00:00,,"Adıyaman,Turkey"
89,"These Foods Will Help Reducing Anxiety There are foods that can help ease anxiety. Some of them are almonds, which have vitamin E and B12, zinc and magnesium, which increases the immune system. Others are sources of ... - ",2020-03-31 23:54:38+00:00,,"Adıyaman,Turkey"
90,vitamin D has many benefits. are you getting enough? #vitamind #immunesupport #immunesystem #immunesystembooster #sunshine #sunshinevitamin https://www.instagram.com/p/B-aszSQjk72/?igshid=124lrw3wc385k,2020-03-31 23:54:30+00:00,#vitamind #immunesupport #immunesystem #immunesystembooster #sunshine #sunshinevitamin,"Adıyaman,Turkey"
91,Check out my broadcast from my PlayStation 4! #PS4live (Call of Duty®: Modern Warfare®) live at,2020-03-31 23:54:26+00:00,#PS4live,"Adıyaman,Turkey"
92,I’ve eaten nothing but oranges. Because ya know vitamins ,2020-03-31 23:54:00+00:00,,"Adıyaman,Turkey"
93,Vitamin D works like a charm ,2020-03-31 23:53:58+00:00,,"Adıyaman,Turkey"
94,YEAH I GOT IT FROM THE VITAMIN SHOPPE BUT GNC SHOULD HAVE IT! YOU GOTTA DRINK IT IMMEDIATELY AFTER A BIG MEAL!,2020-03-31 23:53:57+00:00,,"Adıyaman,Turkey"
95,Oyyy kuzum. Lütfen biri sahip çıksın. Raşitizm bu çocuk. D3 Vitamini kullanması lazım.. Ayağı Sarılmalı. Ve vitamin desteğiyle düzelir. Ama mutlaka D3 Vitamini yapılmalı. Maalesef küçük yavrularda çok oluyor. Ama düzeliyor. Benim çok düzeldi.,2020-03-31 23:53:55+00:00,,"Adıyaman,Turkey"
96,"Sippin' on this Hennessy, once you were my friend Now you turned into my enemy, here we go again I think love is just like money how it blows in the wind Got me taking medicine, these is not no vitamins",2020-03-31 23:53:36+00:00,,"Adıyaman,Turkey"
97,아직 정해진건 없어서 모르겠어요 일단 후르트링하고 비요트준쮸 만들어보고 알려드릴게요..!,2020-03-31 23:53:26+00:00,,"Adıyaman,Turkey"
98,Yo gurl was like haha you’re fine you don’t need to take your vitamins but that all changed when I stood up from takin a sit down on my walk and everything went BLURRY,2020-03-31 23:53:21+00:00,,"Adıyaman,Turkey"
99,"Upon diagnosis #COVID19, Don’t wait for gross expression on an X-ray Immediately w/fever spike 100°F! Keep Vitamins D3 5000iu per day C 1000mg 2x day Simultaneously start #Tamiflu 30mg 2x/day #Doxycycline 100mg 2x/Day Admited #Ceftriaxone 1g 2x/D or NONAdmitted Keflex 500mg 2x/D",2020-03-31 23:53:21+00:00,#COVID19 #Tamiflu #Doxycycline #Ceftriaxone,"Adıyaman,Turkey"
100,https://youtu.be/rDnIeTXEyyM here is a sample of how to properly use gimmicks exfoliating mask and skin care. A combination of Shea butter vitamin a vitamin a and O perfected blend of salt helps to provide the radiant skin that you need for the perfect at home facial. For more infor… ,2020-03-31 23:53:13+00:00,,"Adıyaman,Turkey"
101,must take a 500mg of vitamin C too and a cup of ginger tea with a lemon extract. i helps a lot to avoid C19. also wash hand properly in time to time. - BeMyLady ,2020-03-31 23:53:03+00:00,,"Adıyaman,Turkey"
102,Vitamin D boosts viral immunity.,2020-03-31 23:52:45+00:00,,"Adıyaman,Turkey"
103,"Screwdrivers, actually. For the vitamin C. Gotta keep my immune system in good order. I feel stronger already.",2020-03-31 23:52:27+00:00,,"Adıyaman,Turkey"
104,"Now the scam be say Na Vitamin C, They cure the coro... U see am See proof ooo https://m.scooper.news/detail?newsId=9143458&amp;utm_source=com.transsion.hilauncher",2020-03-31 23:52:08+00:00,,"Adıyaman,Turkey"
105,Memang berjemur bisa meningkatkan asupan vitamin D. Tapi apakah ada risetnya orang dengan imunitas/daya tahan tubuh yang kuat tidak mudah &amp; tidak bisa tertular virus COVID-19 ? Kok tidak sekalian menghimbau masyarakatnya menahan nafas selama 1 jam agar tidak tertular COVID-19 ?,2020-03-31 23:52:01+00:00,,"Adıyaman,Turkey"
106,My skin is so bad. Normally use Vitamin E range at Body Shop but doesn’t seem to help my skin with breakouts...recommendations?,2020-03-31 23:52:01+00:00,,"Adıyaman,Turkey"
107,Been taking 3 vitamin c tabs a day to keep the cold away ,2020-03-31 23:51:54+00:00,,"Adıyaman,Turkey"
109,"Hi. I'm on Day 14. I had all the symptoms you have. Take Mucinex if you have it. It will help you cough that stuff out. Steamy showers often, inhale steam. Sip warm water, it dissolves the mucus. Gargle warm salt water for sore throat. Vitamin C. Vicks vapor rub. Take care!",2020-03-31 23:51:54+00:00,,"Adıyaman,Turkey"
110,Shocker ,2020-03-31 23:51:39+00:00,,"Adıyaman,Turkey"
111,"Trying to place an order for my vitamins with #thevitaminshoppe Forty five minutes later, giving up. I don’t need this stress ",2020-03-31 23:51:38+00:00,#thevitaminshoppe,"Adıyaman,Turkey"
112,"@ttocs35 It’s gotta be vitamin B12 Yeah, that’s the ticket. President Trump is the energizer POTUS45 &amp; MAGABOT is the Uniter of Patriots! Fld&amp;Rtd Much Thanks!",2020-03-31 23:51:21+00:00,,"Adıyaman,Turkey"
113,Did you know? #scoliosis Vitamin D levels are lower in children with scoliosis! In Canada follow Heath Canada recommendation. Contact us for more information : scoliosisphysiotherapy@gmail.com https://youtu.be/VIeVOogRhx8,2020-03-31 23:51:19+00:00,#scoliosis,"Adıyaman,Turkey"
114,"Shoutout to @Starbucks and @RubiosTweets for helping me get out of my apartment for cold brew and burritos, as well as a little vitamin D.",2020-03-31 23:51:17+00:00,,"Adıyaman,Turkey"
115,Low key thought the second one was legit ,2020-03-31 23:50:53+00:00,,"Adıyaman,Turkey"
116,이런게 있었네요,2020-03-31 23:50:53+00:00,,"Adıyaman,Turkey"
117,Well stocked on Vitamin Y. ,2020-03-31 23:50:33+00:00,,"Adıyaman,Turkey"
118,"work gave us ""gift bags"" with medium sanitizer bottles, tissues, emergenC, and vitamin c cough drops and like I understand it's like a ""keep employees healthy enough to work"" initiative but like. I appreciate the effort since a lot of other workplaces arent being nearly as kind",2020-03-31 23:50:12+00:00,,"Adıyaman,Turkey"
119,i take a multi vitamin everyday barbara,2020-03-31 23:50:11+00:00,,"Adıyaman,Turkey"
120,excited to see how this turns out. my brain just *refuses* to believe that vitamins are actually good for you...,2020-03-31 23:49:47+00:00,,"Adıyaman,Turkey"
121,lmaooo he says thanks!,2020-03-31 23:49:34+00:00,,"Adıyaman,Turkey"
122,Honestly I think it’s bc I’m not working but despite the circumstances I’m looking at it as a blessing in disguise rather than the end of the world. Try to stay positive and OD on the vitamin C and please be safe Jonica ,2020-03-31 23:49:25+00:00,,"Adıyaman,Turkey"
123,Perhaps learning from eachother a much better idea than tweet arguments. The fact is your claims to support a link between nicotine vaping & lung illness is lacking. Just because it was false & unfairly blamed doesn't make it true. Science point's to THC: vitamin e &amp; pesticides.,2020-03-31 23:49:23+00:00,,"Adıyaman,Turkey"
124,Well. If its possible since peppermint is good for lungs; get peppermint tea or candy cane. I am not a Dr. Or am I sick. Aspirin is my choice for aches pains fever headaches. Tylenol is an iffy to me. Hot bath for fever. And vitamin zinc . get well.,2020-03-31 23:49:21+00:00,,"Adıyaman,Turkey"
125,"Upon diagnosis #COVID19, Don’t wait for gross expression on an X-ray Immediately w/fever spike 100°F! Keep Vitamins D3 5000iu per day C 1000mg 2x day Simultaneously start Tamiflu 30mg 2x/day Doxycycline 100mg 2x/Day Admited Ceftriaxone 1g 2x/D or NONAdmitted Keflex 500mg 2/D",2020-03-31 23:49:12+00:00,#COVID19,"Adıyaman,Turkey"
126,"@DeborahBirx @JeromeAdamsMD @DrRichardCheng1 @VP What is the truth behind High Dosage Vitamin C used during Outbreak in Shanghai, China? Dr. Cheng, Medical Director of Shanghai Medical Center claims this treatment was highly effective, viz: https://youtu.be/NBbbncTR-3k",2020-03-31 23:48:47+00:00,,"Adıyaman,Turkey"
127,"@biannagolodryga Speaking of Selenium heavy metal atomic #34, and building an immune system, is there good evidence showing Se can be helpful in correct dosage? Blueberries &amp; bananas appear to work well on cereal at breakfast. All vitamins B complex are urged.",2020-03-31 23:48:32+00:00,,"Adıyaman,Turkey"
128,"Upon diagnosis #COVID19, Don’t wait for gross expression on an X-ray Immediately w/fever spike 100°F! Keep Vitamins #D3 5000iu per day C 1000mg 2x day Simultaneously start Tamiflu 30mg 2x/day Doxycycline 100mg 2x/Day Admited Ceftriaxone 1g 2x/D or NONAdmitted Keflex 500mg 2/D",2020-03-31 23:48:20+00:00,#COVID19 #D3,"Adıyaman,Turkey"
130,"Untuk step pasien odp dan ditingkat diatsnya umum digunakan praktisi kesehatan dunia ,diawali dengn mengkover vitamin c dahulu....hidrokloro,digunakan tatkala sudah demam baru masuk ditahap penggunaan",2020-03-31 23:48:20+00:00,,"Adıyaman,Turkey"
131,"UIN Syarif Hidayatullah sediakan makanan, buah, dan vitamin bagi mahasiswanya yang berasal dari luar kota dan saat ini masih tinggal di sekitar Ciputat, Tangsel. UIN Syahid Sediakan Makanan, Buah dan Vitamin bagi Mahasiswa Rantau Terdampak Covid-19 https://kemenag.go.id/berita/read/513102/uin-syahid-sediakan-makanan--buah-dan-vitamin-bagi-mahasiswa-rantau-terdampak-covid-19",2020-03-31 23:48:14+00:00,,"Adıyaman,Turkey"
132,New York hospitals treating coronavirus patients with vitamin C ,2020-03-31 23:48:09+00:00,,"Adıyaman,Turkey"
