Satırlar|||Adana-1|Adıyaman-2|Afyonkarahisar-3|Aksaray-68|Amasya-5|Ankara-6|Antalya-7|Ardahan-75|Artvin-8|Aydın-9|Ağrı-4|Balıkesir-10|Bartın-74|Batman-72|Bayburt-69|Bilecik-11|Bingöl-12|Bitlis-13|Bolu-14|Burdur-15|Bursa-16|Denizli-20|Diyarbakır-21|Düzce-81|Edirne-22|Elazığ-23|Erzincan-24|Erzurum-25|Eskişehir-26|Gaziantep-27|Giresun-28|Gümüşhane-29|Hakkari-30|Hatay-31|Isparta-32|Iğdır-76|Kahramanmaraş-46|Karabük-78|Karaman-70|Kars-36|Kastamonu-37|Kayseri-38|Kilis-79|Kocaeli-41|Konya-42|Kütahya-43|Kırklareli-39|Kırıkkale-71|Kırşehir-40|Malatya-44|Manisa-45|Mardin-47|Mersin-33|Muğla-48|Muş-49|Nevşehir-50|Niğde-51|Ordu-52|Osmaniye-80|Rize-53|Sakarya-54|Samsun-55|Siirt-56|Sinop-57|Sivas-58|Tekirdağ-59|Tokat-60|Trabzon-61|Tunceli-62|Uşak-64|Van-65|Yalova-77|Yozgat-66|Zonguldak-67|Çanakkale-17|Çankırı-18|Çorum-19|İstanbul-34|İzmir-35|Şanlıurfa-63|Şırnak-73|
||2018|19220.0|5877.0|5620.0|3718.0|2193.0|40674.0|18413.0|725.0|933.0|7124.0|6268.0|7107.0|1168.0|6876.0|572.0|1397.0|2385.0|3790.0|1957.0|1634.0|22478.0|7036.0|18340.0|2806.0|2062.0|4709.0|1471.0|6507.0|5467.0|22229.0|2647.0|991.0|2715.0|15587.0|2903.0|1995.0|11353.0|1464.0|1952.0|2662.0|2143.0|11912.0|1305.0|15256.0|17987.0|3519.0|1862.0|1874.0|1584.0|6481.0|9900.0|8900.0|14767.0|6299.0|4738.0|2213.0|3035.0|5287.0|5046.0|2281.0|7468.0|9550.0|3783.0|1329.0|4635.0|7617.0|4356.0|5679.0|373.0|2397.0|12854.0|1856.0|3245.0|4004.0|2925.0|1356.0|3806.0|112374.0|27926.0|25870.0|6340.0|
||2019|18994.0|6189.0|5490.0|3495.0|2151.0|40356.0|18814.0|703.0|947.0|7028.0|6384.0|7107.0|1166.0|6839.0|595.0|1400.0|2381.0|3865.0|1930.0|1622.0|22465.0|6991.0|18835.0|2673.0|1986.0|4541.0|1511.0|6482.0|5343.0|22013.0|2593.0|1006.0|2641.0|15406.0|2784.0|1996.0|11159.0|1392.0|1860.0|2775.0|2179.0|11741.0|1364.0|15226.0|18010.0|3531.0|1840.0|1837.0|1659.0|6502.0|9934.0|9249.0|14804.0|6246.0|4868.0|2194.0|2928.0|5014.0|5096.0|2130.0|7484.0|9471.0|3659.0|1249.0|4511.0|7421.0|4293.0|5573.0|369.0|2430.0|12720.0|1928.0|3058.0|3898.0|2845.0|1171.0|3582.0|113877.0|27187.0|26317.0|6375.0|
|Cinsiyeti:Kadın ve Yaş:0|2017|17474.0|5767.0|4962.0|3150.0|1756.0|35746.0|15709.0|634.0|902.0|6623.0|6706.0|6020.0|907.0|6682.0|563.0|1290.0|2503.0|3871.0|1651.0|1290.0|20181.0|6294.0|19997.0|2554.0|1879.0|4034.0|1384.0|6712.0|4759.0|21579.0|2139.0|922.0|2548.0|13692.0|2395.0|1961.0|9958.0|1122.0|1815.0|2520.0|1738.0|10170.0|1294.0|14851.0|16306.0|3134.0|1756.0|1525.0|1411.0|5425.0|8794.0|9477.0|12837.0|5152.0|4792.0|1917.0|2553.0|4238.0|4202.0|1890.0|6970.0|7992.0|3760.0|1020.0|4082.0|7142.0|3407.0|4814.0|445.0|2056.0|13047.0|1531.0|2618.0|2929.0|2625.0|1082.0|2941.0|108832.0|25112.0|29092.0|6421.0|
||2018|16869.0|5737.0|4699.0|3110.0|1710.0|34863.0|15490.0|629.0|899.0|6290.0|6283.0|6028.0|954.0|6610.0|535.0|1278.0|2586.0|3847.0|1585.0|1284.0|20432.0|6166.0|19433.0|2473.0|1907.0|3959.0|1378.0|6195.0|4700.0|21090.0|2086.0|814.0|2513.0|13403.0|2352.0|1890.0|9545.0|1187.0|1678.0|2415.0|1765.0|9803.0|1337.0|14608.0|16207.0|2884.0|1720.0|1542.0|1414.0|5185.0|8863.0|9384.0|12600.0|5157.0|4643.0|1842.0|2558.0|4203.0|4028.0|1976.0|7080.0|7910.0|3715.0|1068.0|3927.0|7296.0|3355.0|4940.0|458.0|1936.0|12682.0|1541.0|2478.0|2829.0|2681.0|1160.0|2876.0|104953.0|24486.0|28998.0|6508.0|
||2019|15658.0|5624.0|4521.0|2923.0|1688.0|32934.0|14617.0|597.0|817.0|6025.0|6059.0|5730.0|903.0|6346.0|464.0|1283.0|2459.0|3644.0|1536.0|1320.0|19089.0|5751.0|18816.0|2443.0|1692.0|3735.0|1389.0|6066.0|4435.0|20036.0|2025.0|823.0|2375.0|12822.0|2304.0|1828.0|8745.0|1112.0|1631.0|2349.0|1688.0|9168.0|1231.0|13886.0|15301.0|2756.0|1659.0|1438.0|1303.0|5020.0|8346.0|9280.0|11681.0|4906.0|4625.0|1724.0|2434.0|3797.0|3943.0|1813.0|6595.0|7433.0|3468.0|1014.0|3739.0|6786.0|3306.0|4574.0|531.0|1885.0|12571.0|1598.0|2317.0|2542.0|2473.0|1063.0|2880.0|99313.0|22744.0|27932.0|6351.0|
|Cinsiyeti:Kadın ve Yaş:1|2017|18454.0|6098.0|5116.0|3221.0|1837.0|37531.0|17165.0|692.0|922.0|6601.0|6878.0|6384.0|931.0|6928.0|565.0|1366.0|2546.0|3938.0|1732.0|1473.0|21368.0|6637.0|20365.0|2566.0|1964.0|4194.0|1601.0|6838.0|4950.0|22995.0|2182.0|1033.0|2680.0|14629.0|2479.0|2026.0|10297.0|1198.0|1827.0|2639.0|1856.0|10885.0|1366.0|15512.0|17328.0|3228.0|1780.0|1660.0|1483.0|5675.0|9503.0|9604.0|13659.0|5593.0|4981.0|1988.0|2764.0|4496.0|4376.0|1963.0|7235.0|8405.0|3779.0|1101.0|4199.0|7436.0|3543.0|5087.0|464.0|2237.0|13211.0|1695.0|2655.0|3059.0|2690.0|1060.0|3223.0|114939.0|26628.0|29491.0|6047.0|
||2018|17993.0|6000.0|5138.0|3331.0|1823.0|37358.0|16701.0|666.0|940.0|6887.0|6747.0|6303.0|969.0|6908.0|605.0|1356.0|2593.0|3958.0|1756.0|1370.0|21054.0|6463.0|20559.0|2675.0|1958.0|4202.0|1396.0|6790.0|4986.0|22204.0|2254.0|962.0|2615.0|14554.0|2497.0|2001.0|10216.0|1181.0|1895.0|2552.0|1799.0|10518.0|1400.0|15217.0|16889.0|3221.0|1818.0|1638.0|1527.0|5650.0|9060.0|9843.0|13435.0|5387.0|4891.0|1983.0|2693.0|4434.0|4323.0|2001.0|7298.0|8309.0|3901.0|1104.0|4201.0|7469.0|3570.0|5067.0|477.0|2178.0|13286.0|1685.0|2779.0|3037.0|2744.0|1309.0|3126.0|111928.0|26089.0|30172.0|6704.0|
||2019|17260.0|5871.0|4815.0|3213.0|1753.0|36272.0|16355.0|644.0|912.0|6492.0|6279.0|6234.0|956.0|6838.0|546.0|1314.0|2607.0|3885.0|1654.0|1305.0|21043.0|6336.0|19829.0|2521.0|1946.0|4015.0|1433.0|6287.0|4887.0|21673.0|2118.0|847.0|2559.0|13878.0|2453.0|1980.0|9728.0|1213.0|1726.0|2422.0|1824.0|10087.0|1377.0|15055.0|16595.0|2894.0|1781.0|1581.0|1460.0|5340.0|9109.0|9683.0|13084.0|5388.0|4672.0|1891.0|2546.0|4204.0|4098.0|2005.0|7301.0|8091.0|3776.0|1108.0|3957.0|7443.0|3476.0|5060.0|478.0|2014.0|12979.0|1667.0|2503.0|2834.0|2746.0|1103.0|2924.0|108717.0|25170.0|29696.0|6666.0|
|Cinsiyeti:Kadın ve Yaş:10|2017|18707.0|5952.0|5290.0|3476.0|2122.0|38617.0|17323.0|716.0|969.0|6922.0|5973.0|7035.0|1149.0|6712.0|517.0|1352.0|2390.0|3685.0|1789.0|1577.0|21550.0|7110.0|18033.0|2789.0|2087.0|4520.0|1465.0|6427.0|5257.0|21509.0|2623.0|1149.0|2881.0|15115.0|2817.0|1857.0|10952.0|1401.0|1880.0|2649.0|2149.0|11760.0|1276.0|14447.0|18227.0|3486.0|1871.0|1913.0|1677.0|6310.0|9884.0|8907.0|14113.0|5898.0|4560.0|2107.0|2819.0|4976.0|4904.0|2088.0|7253.0|9197.0|3809.0|1221.0|4679.0|7051.0|4205.0|5229.0|317.0|2362.0|12405.0|1739.0|3189.0|4035.0|2836.0|1138.0|3569.0|108408.0|27095.0|24217.0|6310.0|
||2018|19046.0|6155.0|5388.0|3425.0|2162.0|39871.0|18005.0|677.0|907.0|7145.0|5732.0|6947.0|1147.0|6793.0|589.0|1348.0|2408.0|3673.0|1871.0|1511.0|21894.0|7104.0|18561.0|2776.0|2034.0|4466.0|1487.0|6242.0|5198.0|22087.0|2512.0|1025.0|2675.0|15185.0|2873.0|1772.0|11247.0|1382.0|1899.0|2622.0|2088.0|11924.0|1241.0|14906.0|17926.0|3529.0|1782.0|1887.0|1697.0|6455.0|9782.0|8989.0|14603.0|5937.0|4617.0|2068.0|2907.0|5240.0|4801.0|2151.0|7337.0|9541.0|3698.0|1268.0|4732.0|7179.0|4217.0|5356.0|391.0|2359.0|12279.0|1722.0|3271.0|3977.0|2906.0|1304.0|3691.0|109248.0|27289.0|25024.0|6068.0|
||2019|18199.0|5742.0|5284.0|3373.0|2097.0|38576.0|17878.0|687.0|926.0|6736.0|5841.0|6687.0|1145.0|6536.0|539.0|1375.0|2320.0|3556.0|1879.0|1488.0|21189.0|6741.0|17470.0|2686.0|1973.0|4336.0|1431.0|6133.0|5170.0|21403.0|2462.0|935.0|2551.0|14778.0|2772.0|1878.0|10643.0|1334.0|1897.0|2489.0|2066.0|11185.0|1237.0|14429.0|17085.0|3313.0|1725.0|1781.0|1568.0|6185.0|9390.0|8789.0|13961.0|5872.0|4357.0|2136.0|2865.0|4821.0|4892.0|2042.0|7149.0|9198.0|3584.0|1229.0|4320.0|7086.0|4125.0|5439.0|365.0|2243.0|12378.0|1862.0|3008.0|3814.0|2909.0|1093.0|3489.0|107649.0|26263.0|24505.0|6098.0|
|Cinsiyeti:Kadın ve Yaş:11|2017|18418.0|5826.0|5346.0|3443.0|2086.0|37032.0|17004.0|744.0|911.0|6865.0|6106.0|6916.0|1053.0|6768.0|548.0|1359.0|2368.0|3526.0|1743.0|1562.0|20268.0|6928.0|17562.0|2657.0|2118.0|4285.0|1511.0|6360.0|5104.0|20382.0|2540.0|1089.0|3107.0|14446.0|2735.0|1852.0|10704.0|1368.0|1791.0|2531.0|2166.0|11529.0|1264.0|13581.0|17488.0|3478.0|1814.0|1897.0|1591.0|6340.0|9647.0|8923.0|13875.0|5757.0|4658.0|2176.0|2917.0|4814.0|4911.0|2117.0|6933.0|8876.0|3891.0|1187.0|4457.0|6918.0|4223.0|4998.0|342.0|2314.0|12509.0|1547.0|3132.0|3671.0|2763.0|1138.0|3652.0|103069.0|25797.0|23982.0|6791.0|
||2018|18643.0|5978.0|5344.0|3510.0|2134.0|38994.0|17598.0|719.0|981.0|6997.0|5867.0|7156.0|1174.0|6725.0|517.0|1362.0|2401.0|3643.0|1823.0|1592.0|21868.0|7162.0|17961.0|2841.0|2085.0|4590.0|1475.0|6425.0|5311.0|21446.0|2687.0|1022.0|2862.0|15299.0|2839.0|1847.0|10987.0|1426.0|1895.0|2621.0|2169.0|11777.0|1306.0|14501.0|18263.0|3519.0|1868.0|1938.0|1697.0|6335.0|9950.0|8926.0|14224.0|5971.0|4516.0|2143.0|2890.0|5124.0|4919.0|2140.0|7337.0|9320.0|3765.0|1261.0|4737.0|7174.0|4214.0|5348.0|332.0|2362.0|12305.0|1823.0|3202.0|4019.0|2863.0|1290.0|3611.0|108079.0|27226.0|24220.0|6326.0|
||2019|19011.0|6115.0|5396.0|3445.0|2153.0|40388.0|18407.0|680.0|907.0|7187.0|5646.0|6984.0|1147.0|6787.0|578.0|1346.0|2372.0|3630.0|1914.0|1496.0|22144.0|7146.0|18480.0|2787.0|2034.0|4404.0|1483.0|6184.0|5326.0|22173.0|2497.0|1061.0|2662.0|15206.0|2897.0|1769.0|11190.0|1356.0|1886.0|2588.0|2085.0|12041.0|1245.0|15086.0|18024.0|3507.0|1790.0|1874.0|1710.0|6490.0|9803.0|8922.0|14671.0|6010.0|4569.0|2078.0|2907.0|5150.0|4855.0|2115.0|7382.0|9587.0|3658.0|1241.0|4686.0|7258.0|4277.0|5367.0|378.0|2368.0|12241.0|1785.0|3236.0|3945.0|2940.0|1158.0|3638.0|110246.0|27456.0|24903.0|6068.0|
|Cinsiyeti:Kadın ve Yaş:12|2017|18108.0|5686.0|5300.0|3337.0|2041.0|36422.0|16402.0|794.0|939.0|6660.0|5882.0|6963.0|1033.0|6670.0|540.0|1280.0|2410.0|3552.0|1778.0|1618.0|20010.0|6857.0|17419.0|2658.0|2005.0|4258.0|1407.0|6521.0|5092.0|20006.0|2563.0|1061.0|3078.0|14280.0|2686.0|1837.0|10338.0|1420.0|1951.0|2700.0|2157.0|11185.0|1295.0|13451.0|17670.0|3416.0|1841.0|1829.0|1559.0|6329.0|9198.0|9066.0|13713.0|5607.0|4709.0|2145.0|2792.0|4561.0|4687.0|2070.0|6789.0|9013.0|3837.0|1228.0|4486.0|6587.0|4377.0|5067.0|323.0|2311.0|11866.0|1566.0|3240.0|3767.0|2689.0|1110.0|3487.0|102377.0|25478.0|22803.0|5986.0|
||2018|18318.0|5864.0|5375.0|3478.0|2092.0|37428.0|17303.0|737.0|921.0|6924.0|6045.0|7020.0|1072.0|6804.0|566.0|1387.0|2388.0|3518.0|1790.0|1574.0|20518.0|6951.0|17462.0|2703.0|2135.0|4356.0|1512.0|6342.0|5196.0|20337.0|2612.0|950.0|3087.0|14641.0|2763.0|1820.0|10711.0|1392.0|1816.0|2508.0|2190.0|11533.0|1305.0|13654.0|17533.0|3520.0|1813.0|1932.0|1607.0|6355.0|9700.0|8916.0|14008.0|5826.0|4621.0|2199.0|2951.0|4972.0|4943.0|2156.0|7028.0|8966.0|3867.0|1219.0|4507.0|6995.0|4207.0|5097.0|346.0|2324.0|12408.0|1615.0|3145.0|3657.0|2821.0|1306.0|3670.0|102905.0|25865.0|23946.0|6791.0|
||2019|18637.0|5944.0|5326.0|3514.0|2130.0|39563.0|17996.0|704.0|962.0|7065.0|5715.0|7191.0|1182.0|6710.0|526.0|1363.0|2374.0|3626.0|1863.0|1585.0|22093.0|7228.0|17900.0|2830.0|2120.0|4529.0|1472.0|6353.0|5397.0|21455.0|2686.0|1075.0|2843.0|15334.0|2873.0|1846.0|10894.0|1431.0|1882.0|2580.0|2186.0|11877.0|1300.0|14658.0|18384.0|3471.0|1885.0|1906.0|1708.0|6359.0|10017.0|8888.0|14329.0|5994.0|4452.0|2161.0|2862.0|5027.0|4949.0|2126.0|7373.0|9390.0|3718.0|1253.0|4678.0|7243.0|4247.0|5340.0|323.0|2369.0|12316.0|1866.0|3151.0|3994.0|2872.0|1148.0|3550.0|109132.0|27424.0|24037.0|6314.0|
|Cinsiyeti:Kadın ve Yaş:13|2017|16798.0|5415.0|5303.0|3054.0|2022.0|35381.0|15836.0|741.0|941.0|6570.0|5982.0|6795.0|1093.0|6271.0|571.0|1314.0|2487.0|3748.0|1749.0|1558.0|20009.0|6768.0|17363.0|2550.0|2008.0|4422.0|1343.0|6952.0|4879.0|19192.0|2656.0|1107.0|3070.0|13839.0|2675.0|1778.0|10354.0|1360.0|1747.0|2521.0|2171.0|11009.0|1144.0|12992.0|17135.0|3550.0|1749.0|1860.0|1598.0|6053.0|9264.0|9082.0|13411.0|5338.0|4663.0|2115.0|2818.0|4842.0|4444.0|2053.0|7011.0|9177.0|3685.0|1169.0|4498.0|6565.0|4413.0|5172.0|336.0|2178.0|12663.0|1526.0|3204.0|3652.0|2634.0|1118.0|3516.0|101308.0|24566.0|21716.0|5994.0|
||2018|18056.0|5738.0|5351.0|3396.0|2057.0|36800.0|16695.0|781.0|946.0|6716.0|5799.0|7058.0|1061.0|6668.0|550.0|1297.0|2406.0|3507.0|1819.0|1645.0|20330.0|6868.0|17355.0|2713.0|2034.0|4345.0|1402.0|6524.0|5154.0|19902.0|2603.0|896.0|3057.0|14406.0|2709.0|1818.0|10333.0|1438.0|1947.0|2674.0|2195.0|11182.0|1305.0|13532.0|17752.0|3449.0|1835.0|1882.0|1586.0|6341.0|9247.0|9030.0|13769.0|5630.0|4678.0|2154.0|2839.0|4680.0|4718.0|2133.0|6860.0|9124.0|3800.0|1274.0|4541.0|6698.0|4402.0|5119.0|319.0|2344.0|11808.0|1629.0|3242.0|3782.0|2720.0|1249.0|3495.0|102092.0|25543.0|22744.0|5995.0|
||2019|18255.0|5827.0|5355.0|3480.0|2096.0|37963.0|17705.0|733.0|913.0|6970.0|5931.0|7058.0|1077.0|6785.0|571.0|1374.0|2335.0|3485.0|1823.0|1577.0|20763.0|6986.0|17404.0|2699.0|2149.0|4286.0|1525.0|6309.0|5312.0|20443.0|2573.0|1004.0|3055.0|14645.0|2779.0|1825.0|10660.0|1387.0|1802.0|2472.0|2171.0|11618.0|1301.0|13772.0|17637.0|3477.0|1817.0|1904.0|1607.0|6404.0|9755.0|8877.0|14134.0|5902.0|4558.0|2215.0|2913.0|4873.0|4954.0|2119.0|7098.0|9011.0|3815.0|1239.0|4462.0|7080.0|4231.0|5108.0|338.0|2345.0|12353.0|1670.0|3099.0|3621.0|2821.0|1173.0|3597.0|104021.0|26049.0|23719.0|6746.0|
|Cinsiyeti:Kadın ve Yaş:14|2017|16903.0|5534.0|5020.0|3072.0|2167.0|34995.0|15513.0|766.0|935.0|6325.0|6139.0|6660.0|1112.0|6573.0|476.0|1276.0|2278.0|3644.0|1752.0|1558.0|19194.0|6366.0|17106.0|2488.0|1939.0|4171.0|1432.0|6819.0|4942.0|18278.0|2769.0|1133.0|3099.0|13760.0|2602.0|1986.0|10216.0|1293.0|1770.0|2604.0|2193.0|10302.0|1112.0|12698.0|16228.0|3410.0|1830.0|1817.0|1503.0|5917.0|8791.0|8456.0|13466.0|5357.0|4785.0|2036.0|2894.0|4984.0|4416.0|2190.0|6929.0|9098.0|3654.0|1204.0|4441.0|6301.0|4336.0|5226.0|313.0|2263.0|12428.0|1542.0|3115.0|3689.0|2627.0|1110.0|3550.0|99547.0|24170.0|21349.0|5677.0|
||2018|16712.0|5440.0|5333.0|3111.0|2041.0|35933.0|16114.0|737.0|949.0|6640.0|5850.0|6853.0|1106.0|6246.0|575.0|1320.0|2487.0|3710.0|1820.0|1561.0|20243.0|6806.0|17286.0|2580.0|2028.0|4471.0|1336.0|6912.0|4999.0|19145.0|2681.0|961.0|3034.0|13958.0|2700.0|1762.0|10332.0|1371.0|1753.0|2477.0|2177.0|11035.0|1173.0|13083.0|17157.0|3574.0|1759.0|1890.0|1604.0|6075.0|9293.0|9036.0|13458.0|5398.0|4608.0|2139.0|2864.0|4998.0|4474.0|2105.0|7084.0|9322.0|3664.0|1227.0|4543.0|6665.0|4408.0|5277.0|332.0|2182.0|12564.0|1579.0|3180.0|3618.0|2678.0|1264.0|3558.0|100940.0|24748.0|21620.0|5989.0|
||2019|18013.0|5684.0|5295.0|3359.0|2061.0|37432.0|17061.0|772.0|914.0|6756.0|5695.0|7072.0|1048.0|6635.0|547.0|1277.0|2380.0|3464.0|1853.0|1619.0|20551.0|6922.0|17273.0|2692.0|2025.0|4284.0|1408.0|6472.0|5257.0|19951.0|2542.0|940.0|3026.0|14406.0|2718.0|1805.0|10275.0|1434.0|1936.0|2635.0|2162.0|11296.0|1299.0|13782.0|17832.0|3422.0|1849.0|1853.0|1594.0|6373.0|9317.0|8975.0|13884.0|5681.0|4605.0|2161.0|2813.0|4560.0|4749.0|2073.0|6959.0|9192.0|3739.0|1245.0|4487.0|6818.0|4429.0|5118.0|311.0|2341.0|11728.0|1669.0|3193.0|3730.0|2753.0|1096.0|3442.0|103344.0|25812.0|22508.0|5959.0|
|Cinsiyeti:Kadın ve Yaş:15|2017|16909.0|5683.0|5102.0|3237.0|2183.0|36074.0|15579.0|730.0|1001.0|6554.0|6458.0|6792.0|1245.0|6738.0|560.0|1289.0|2137.0|3803.0|1764.0|1516.0|19369.0|6762.0|16980.0|2706.0|1970.0|4381.0|1553.0|6957.0|5017.0|17677.0|2844.0|1148.0|2980.0|13397.0|2702.0|1957.0|10306.0|1386.0|1819.0|2438.0|2253.0|10464.0|1257.0|12972.0|16865.0|3330.0|1884.0|1921.0|1644.0|6182.0|8981.0|8895.0|13143.0|5347.0|4855.0|2095.0|2853.0|5381.0|4536.0|2227.0|7320.0|9833.0|3696.0|1292.0|4736.0|6295.0|4465.0|5360.0|329.0|2300.0|12333.0|1589.0|3278.0|3931.0|2636.0|1095.0|3772.0|99597.0|24224.0|21177.0|6057.0|
||2018|16854.0|5538.0|5057.0|3096.0|2181.0|35393.0|15772.0|753.0|937.0|6383.0|6011.0|6696.0|1132.0|6571.0|500.0|1302.0|2277.0|3586.0|1791.0|1563.0|19438.0|6404.0|17010.0|2520.0|1955.0|4239.0|1414.0|6789.0|4991.0|18172.0|2795.0|984.0|3083.0|13827.0|2647.0|1971.0|10208.0|1323.0|1778.0|2583.0|2228.0|10318.0|1136.0|12796.0|16272.0|3449.0|1831.0|1860.0|1532.0|5926.0|8846.0|8424.0|13535.0|5405.0|4712.0|2050.0|2939.0|5183.0|4432.0|2260.0|7018.0|9155.0|3595.0|1260.0|4508.0|6373.0|4315.0|5319.0|316.0|2246.0|12276.0|1615.0|3108.0|3649.0|2674.0|1253.0|3592.0|99355.0|24231.0|21238.0|5696.0|
||2019|16667.0|5414.0|5298.0|3096.0|2017.0|36416.0|16511.0|729.0|927.0|6661.0|5722.0|6843.0|1108.0|6215.0|570.0|1316.0|2445.0|3652.0|1850.0|1548.0|20476.0|6840.0|17155.0|2580.0|2039.0|4395.0|1353.0|6851.0|5073.0|19149.0|2642.0|999.0|3015.0|13934.0|2705.0|1751.0|10295.0|1388.0|1742.0|2422.0|2162.0|11133.0|1184.0|13170.0|17205.0|3551.0|1758.0|1879.0|1616.0|6071.0|9300.0|8963.0|13565.0|5440.0|4533.0|2147.0|2834.0|4887.0|4495.0|2055.0|7096.0|9343.0|3605.0|1219.0|4498.0|6738.0|4437.0|5278.0|325.0|2199.0|12412.0|1629.0|3113.0|3602.0|2725.0|1113.0|3493.0|102279.0|24920.0|21420.0|5957.0|
|Cinsiyeti:Kadın ve Yaş:16|2017|18791.0|6031.0|5588.0|3530.0|2461.0|38012.0|16657.0|801.0|1077.0|7226.0|6559.0|7640.0|1404.0|6953.0|582.0|1463.0|2381.0|3875.0|1954.0|1760.0|20991.0|7476.0|17845.0|2966.0|2232.0|4812.0|1631.0|7156.0|5445.0|19152.0|3071.0|1236.0|3105.0|14334.0|2793.0|1951.0|10690.0|1556.0|2024.0|2681.0|2257.0|11463.0|1288.0|14391.0|18107.0|3818.0|1963.0|2156.0|1750.0|6614.0|9890.0|9182.0|14380.0|5673.0|4932.0|2243.0|2989.0|5691.0|4827.0|2432.0|7817.0|10495.0|3760.0|1358.0|5120.0|6676.0|5066.0|5839.0|390.0|2485.0|12895.0|1700.0|3554.0|4307.0|2843.0|1197.0|4009.0|106051.0|26825.0|21606.0|6100.0|
||2018|16866.0|5685.0|5153.0|3279.0|2203.0|36404.0|15775.0|714.0|1012.0|6591.0|6292.0|6834.0|1277.0|6724.0|576.0|1293.0|2132.0|3747.0|1824.0|1546.0|19677.0|6809.0|16905.0|2745.0|1980.0|4454.0|1550.0|6911.0|5062.0|17614.0|2912.0|1011.0|2951.0|13454.0|2731.0|1930.0|10298.0|1390.0|1836.0|2407.0|2274.0|10462.0|1283.0|12987.0|16916.0|3339.0|1888.0|1978.0|1652.0|6161.0|9022.0|8841.0|13183.0|5395.0|4759.0|2095.0|2890.0|5536.0|4552.0|2298.0|7374.0|9967.0|3649.0|1317.0|4768.0|6366.0|4470.0|5448.0|349.0|2303.0|12168.0|1640.0|3278.0|3917.0|2683.0|1262.0|3814.0|99386.0|24306.0|21046.0|6066.0|
||2019|16836.0|5500.0|5030.0|3111.0|2183.0|35906.0|16097.0|745.0|906.0|6399.0|5874.0|6675.0|1113.0|6568.0|505.0|1286.0|2252.0|3555.0|1834.0|1560.0|19667.0|6408.0|16893.0|2517.0|1986.0|4170.0|1415.0|6712.0|5060.0|18173.0|2767.0|1058.0|3048.0|13826.0|2654.0|1957.0|10136.0|1327.0|1763.0|2513.0|2222.0|10385.0|1130.0|12939.0|16327.0|3431.0|1837.0|1842.0|1521.0|5949.0|8856.0|8378.0|13594.0|5453.0|4633.0|2062.0|2889.0|5066.0|4430.0|2211.0|7064.0|9202.0|3551.0|1223.0|4445.0|6452.0|4337.0|5308.0|301.0|2262.0|12165.0|1658.0|3044.0|3611.0|2704.0|1120.0|3528.0|100605.0|24414.0|20967.0|5650.0|
|Cinsiyeti:Kadın ve Yaş:17|2017|19249.0|6145.0|5833.0|3575.0|2460.0|39554.0|17164.0|841.0|1133.0|7714.0|6494.0|7810.0|1278.0|7035.0|645.0|1380.0|2542.0|3915.0|1921.0|1849.0|20897.0|7556.0|18345.0|2895.0|2214.0|5009.0|1808.0|7370.0|5457.0|19222.0|3165.0|1375.0|3136.0|14312.0|2932.0|2082.0|10846.0|1626.0|2159.0|2738.0|2423.0|11579.0|1261.0|13572.0|19110.0|3804.0|2184.0|2333.0|1916.0|6776.0|10031.0|9180.0|15009.0|5915.0|4808.0|2432.0|3186.0|6120.0|4907.0|2485.0|7549.0|10827.0|3846.0|1362.0|5114.0|6722.0|5157.0|5991.0|396.0|2584.0|12987.0|1693.0|3849.0|4099.0|3015.0|1254.0|4199.0|107306.0|27324.0|21996.0|5795.0|
||2018|18649.0|6023.0|5651.0|3552.0|2486.0|38541.0|16872.0|777.0|1107.0|7286.0|6385.0|7709.0|1428.0|6910.0|617.0|1491.0|2385.0|3843.0|2002.0|1791.0|21270.0|7555.0|17726.0|2993.0|2230.0|4929.0|1672.0|7178.0|5533.0|19026.0|3172.0|1134.0|3085.0|14316.0|2864.0|1903.0|10631.0|1626.0|2060.0|2687.0|2305.0|11477.0|1341.0|14436.0|18146.0|3884.0|1992.0|2218.0|1796.0|6657.0|9915.0|9079.0|14406.0|5720.0|4806.0|2255.0|3017.0|5821.0|4824.0|2548.0|7923.0|10569.0|3737.0|1413.0|5211.0|6780.0|5031.0|5956.0|405.0|2494.0|12701.0|1773.0|3538.0|4327.0|2920.0|1367.0|4038.0|106037.0|27013.0|21409.0|6117.0|
||2019|16817.0|5642.0|5146.0|3262.0|2210.0|37187.0|16106.0|696.0|1001.0|6664.0|6091.0|6874.0|1293.0|6672.0|592.0|1311.0|2088.0|3717.0|1883.0|1538.0|19908.0|6857.0|16794.0|2756.0|2025.0|4393.0|1581.0|6913.0|5167.0|17647.0|2863.0|1063.0|2899.0|13375.0|2787.0|1906.0|10167.0|1420.0|1823.0|2363.0|2266.0|10516.0|1268.0|13096.0|16972.0|3365.0|1915.0|1966.0|1662.0|6206.0|9034.0|8731.0|13280.0|5433.0|4631.0|2123.0|2854.0|5405.0|4552.0|2268.0|7448.0|9967.0|3580.0|1291.0|4768.0|6460.0|4481.0|5463.0|353.0|2301.0|12007.0|1693.0|3235.0|3909.0|2712.0|1123.0|3743.0|101063.0|24528.0|20773.0|6020.0|
